job started
Epoch: 1 Learning rate: 1.000
0.457 perplexity: 288.672 speed: 1008 wps
0.458 perplexity: 288.549 speed: 1008 wps
0.459 perplexity: 288.400 speed: 1008 wps
0.460 perplexity: 288.261 speed: 1008 wps
0.461 perplexity: 288.116 speed: 1008 wps
0.462 perplexity: 287.949 speed: 1008 wps
0.463 perplexity: 287.799 speed: 1008 wps
0.464 perplexity: 287.641 speed: 1008 wps
0.465 perplexity: 287.486 speed: 1008 wps
0.466 perplexity: 287.319 speed: 1008 wps
0.467 perplexity: 287.175 speed: 1008 wps
0.468 perplexity: 287.021 speed: 1008 wps
0.469 perplexity: 286.888 speed: 1007 wps
0.470 perplexity: 286.721 speed: 1007 wps
0.471 perplexity: 286.564 speed: 1008 wps
0.472 perplexity: 286.427 speed: 1007 wps
0.473 perplexity: 286.285 speed: 1007 wps
0.474 perplexity: 286.139 speed: 1008 wps
0.475 perplexity: 286.004 speed: 1008 wps
0.476 perplexity: 285.876 speed: 1007 wps
0.477 perplexity: 285.755 speed: 1007 wps
0.478 perplexity: 285.632 speed: 1007 wps
0.479 perplexity: 285.486 speed: 1007 wps
0.480 perplexity: 285.357 speed: 1008 wps
0.481 perplexity: 285.230 speed: 1008 wps
0.482 perplexity: 285.113 speed: 1008 wps
0.483 perplexity: 284.977 speed: 1008 wps
0.484 perplexity: 284.856 speed: 1008 wps
0.485 perplexity: 284.726 speed: 1008 wps
0.486 perplexity: 284.599 speed: 1008 wps
0.487 perplexity: 284.482 speed: 1008 wps
0.488 perplexity: 284.358 speed: 1008 wps
0.489 perplexity: 284.208 speed: 1008 wps
0.490 perplexity: 284.090 speed: 1008 wps
0.491 perplexity: 283.981 speed: 1008 wps
0.492 perplexity: 283.841 speed: 1008 wps
0.493 perplexity: 283.700 speed: 1008 wps
0.494 perplexity: 283.567 speed: 1008 wps
0.495 perplexity: 283.448 speed: 1008 wps
0.496 perplexity: 283.327 speed: 1008 wps
0.497 perplexity: 283.176 speed: 1009 wps
0.498 perplexity: 283.048 speed: 1009 wps
0.499 perplexity: 282.936 speed: 1008 wps
0.500 perplexity: 282.836 speed: 1008 wps
0.501 perplexity: 282.701 speed: 1008 wps
0.502 perplexity: 282.582 speed: 1008 wps
0.503 perplexity: 282.433 speed: 1008 wps
0.503 perplexity: 282.318 speed: 1008 wps
0.504 perplexity: 282.216 speed: 1008 wps
0.505 perplexity: 282.107 speed: 1008 wps
0.506 perplexity: 281.991 speed: 1008 wps
0.507 perplexity: 281.884 speed: 1008 wps
0.508 perplexity: 281.763 speed: 1009 wps
0.509 perplexity: 281.666 speed: 1009 wps
0.510 perplexity: 281.553 speed: 1009 wps
0.511 perplexity: 281.417 speed: 1008 wps
0.512 perplexity: 281.284 speed: 1009 wps
0.513 perplexity: 281.168 speed: 1009 wps
0.514 perplexity: 281.076 speed: 1009 wps
0.515 perplexity: 280.972 speed: 1009 wps
0.516 perplexity: 280.870 speed: 1009 wps
0.517 perplexity: 280.751 speed: 1008 wps
0.518 perplexity: 280.613 speed: 1008 wps
0.519 perplexity: 280.480 speed: 1008 wps
0.520 perplexity: 280.339 speed: 1008 wps
0.521 perplexity: 280.206 speed: 1009 wps
0.522 perplexity: 280.053 speed: 1009 wps
0.523 perplexity: 279.870 speed: 1008 wps
0.524 perplexity: 279.766 speed: 1008 wps
0.525 perplexity: 279.637 speed: 1008 wps
0.526 perplexity: 279.521 speed: 1008 wps
0.527 perplexity: 279.404 speed: 1009 wps
0.528 perplexity: 279.296 speed: 1009 wps
0.529 perplexity: 279.180 speed: 1009 wps
0.530 perplexity: 279.084 speed: 1009 wps
0.531 perplexity: 278.956 speed: 1009 wps
0.532 perplexity: 278.851 speed: 1009 wps
0.533 perplexity: 278.750 speed: 1009 wps
0.534 perplexity: 278.640 speed: 1009 wps
0.535 perplexity: 278.525 speed: 1009 wps
0.536 perplexity: 278.399 speed: 1009 wps
0.537 perplexity: 278.279 speed: 1009 wps
0.538 perplexity: 278.152 speed: 1009 wps
0.539 perplexity: 278.019 speed: 1009 wps
0.540 perplexity: 277.882 speed: 1009 wps
0.541 perplexity: 277.763 speed: 1009 wps
0.542 perplexity: 277.654 speed: 1009 wps
0.543 perplexity: 277.564 speed: 1009 wps
0.544 perplexity: 277.432 speed: 1009 wps
0.545 perplexity: 277.320 speed: 1009 wps
0.546 perplexity: 277.202 speed: 1009 wps
0.547 perplexity: 277.068 speed: 1009 wps
0.548 perplexity: 276.937 speed: 1009 wps
0.549 perplexity: 276.815 speed: 1009 wps
0.550 perplexity: 276.708 speed: 1009 wps
0.551 perplexity: 276.602 speed: 1009 wps
0.552 perplexity: 276.491 speed: 1009 wps
0.553 perplexity: 276.376 speed: 1009 wps
0.554 perplexity: 276.247 speed: 1009 wps
0.555 perplexity: 276.128 speed: 1009 wps
0.556 perplexity: 276.022 speed: 1009 wps
0.557 perplexity: 275.905 speed: 1009 wps
0.558 perplexity: 275.782 speed: 1009 wps
0.559 perplexity: 275.659 speed: 1009 wps
0.560 perplexity: 275.566 speed: 1009 wps
0.561 perplexity: 275.472 speed: 1009 wps
0.562 perplexity: 275.386 speed: 1009 wps
0.563 perplexity: 275.282 speed: 1009 wps
0.564 perplexity: 275.166 speed: 1009 wps
0.565 perplexity: 275.069 speed: 1009 wps
0.566 perplexity: 274.965 speed: 1009 wps
0.567 perplexity: 274.856 speed: 1009 wps
0.568 perplexity: 274.747 speed: 1009 wps
0.569 perplexity: 274.660 speed: 1009 wps
0.570 perplexity: 274.564 speed: 1009 wps
0.571 perplexity: 274.455 speed: 1009 wps
0.572 perplexity: 274.350 speed: 1009 wps
0.573 perplexity: 274.251 speed: 1009 wps
0.574 perplexity: 274.142 speed: 1009 wps
0.575 perplexity: 274.048 speed: 1009 wps
0.576 perplexity: 273.928 speed: 1009 wps
0.577 perplexity: 273.821 speed: 1009 wps
0.578 perplexity: 273.713 speed: 1009 wps
0.579 perplexity: 273.600 speed: 1009 wps
0.580 perplexity: 273.504 speed: 1010 wps
0.581 perplexity: 273.398 speed: 1010 wps
0.582 perplexity: 273.298 speed: 1010 wps
0.583 perplexity: 273.188 speed: 1010 wps
0.584 perplexity: 273.082 speed: 1010 wps
