input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
<s>             | elf             | 8.67578220367   <-> 8.77233123779   || 0
elf             | </s>            | 4.892827034     <-> 4.94010972977   || 0
<s>             | waaronder       | 12.22889328     <-> 11.8095598221   || 1
waaronder       | twee            | 3.88076448441   <-> 4.82918262482   || 0
twee            | <UNK>           | 3.55578064919   <-> 2.76826000214   || 1
<UNK>           | omdat           | 8.27728462219   <-> 7.9420375824    || 1
omdat           | hij             | 2.2829709053    <-> 2.13569068909   || 1
hij             | van             | 4.44082546234   <-> 4.5467634201    || 0
van             | <UNK>           | 2.86635518074   <-> 2.60035943985   || 1
<UNK>           | op              | 4.38865852356   <-> 4.15406513214   || 1
op              | een             | 2.3797826767    <-> 2.21686172485   || 1
een             | <UNK>           | 1.99211895466   <-> 2.05865740776   || 0
<UNK>           | bal             | 9.13933753967   <-> 7.94690513611   || 1
bal             | had             | 3.41472268105   <-> 4.06675434113   || 0
had             | <UNK>           | 3.33390426636   <-> 2.94461250305   || 1
<UNK>           | </s>            | 3.15808844566   <-> 2.28613424301   || 1
<s>             | toen            | 3.91796517372   <-> 4.78827285767   || 0
toen            | hij             | 1.88163137436   <-> 2.1059615612    || 0
hij             | na              | 4.44903945923   <-> 4.92667007446   || 0
na              | zijn            | 2.27660131454   <-> 2.95727109909   || 0
zijn            | achtste         | 7.27390289307   <-> 7.01904821396   || 1
achtste         | shot            | 9.57614326477   <-> 9.3217716217    || 1
shot            | eindelijk       | 7.46321964264   <-> 7.55560684204   || 0
eindelijk       | op              | 3.84693193436   <-> 3.70885062218   || 1
op              | de              | 1.46901714802   <-> 1.42072105408   || 1
de              | green           | 12.4663085938   <-> 11.8671684265   || 1
green           | lag             | 6.67548656464   <-> 6.66084003448   || 1
lag             | waar            | 6.80074548721   <-> 6.67265319824   || 1
waar            | hij             | 1.65661013126   <-> 1.5679473877    || 1
hij             | met             | 3.78164124489   <-> 3.88526558876   || 0
met             | zijn            | 2.52389144897   <-> 3.20737409592   || 0
zijn            | tweede          | 5.63116264343   <-> 4.62765073776   || 1
tweede          | dwars           | 12.0212955475   <-> 13.6006507874   || 0
dwars           | doorheen        | 8.60691452026   <-> 10.0065402985   || 0
doorheen        | was             | 5.27422332764   <-> 4.61515617371   || 1
was             | <UNK>           | 3.24218559265   <-> 3.84818005562   || 0
<UNK>           | had             | 4.49706888199   <-> 5.06586647034   || 0
had             | hij             | 0.914773225784  <-> 1.29531776905   || 0
hij             | nog             | 3.29341340065   <-> 3.41456246376   || 0
nog             | eens            | 3.21077156067   <-> 3.03831171989   || 1
eens            | drie            | 5.39946746826   <-> 5.63840579987   || 0
drie            | <UNK>           | 3.47802710533   <-> 3.16611504555   || 1
<UNK>           | nodig           | 5.22058391571   <-> 5.90614032745   || 0
nodig           | </s>            | 0.442679673433  <-> 0.588543951511  || 0
<s>             | lezers          | 11.9232931137   <-> 11.4633045197   || 1
lezers          | van             | 2.9200720787    <-> 3.02100086212   || 0
van             | Knack           | 9.8943901062    <-> 10.1314001083   || 0
Knack           | kennen          | 6.70504522324   <-> 7.06615352631   || 0
kennen          | John            | 8.0974187851    <-> 8.82828998566   || 0
