input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
Ryder           | Cup             | 3.88569545746   <-> 3.74477910995   || 1
Cup             | </s>            | 0.934963524342  <-> 1.26398026943   || 0
<s>             | <UNK>           | 2.99434733391   <-> 2.91427230835   || 1
<UNK>           | ter             | 8.63160324097   <-> 8.87031650543   || 0
ter             | behoud          | 15.7656774521   <-> 17.4090042114   || 0
behoud          | of              | 6.50065612793   <-> 6.53539419174   || 0
of              | ter             | 8.42131328583   <-> 9.59931564331   || 0
ter             | herovering      | 13.4083547592   <-> 13.9241085052   || 0
herovering      | van             | 0.22259055078   <-> 0.383580893278  || 0
van             | de              | 0.9213347435    <-> 0.806549727917  || 1
de              | legendarische   | 8.68284320831   <-> 7.89538574219   || 1
legendarische   | beker           | 8.19521331787   <-> 5.36990737915   || 1
beker           | die             | 4.38848686218   <-> 3.9992043972    || 1
die             | de              | 2.10881924629   <-> 2.03937149048   || 1
de              | Britse          | 6.82519626617   <-> 6.65567684174   || 1
Britse          | zakenman        | 6.25446128845   <-> 6.32694673538   || 0
zakenman        | Samuel          | 8.74628829956   <-> 8.65435314178   || 1
Samuel          | A               | 9.55963993073   <-> 9.22367668152   || 1
A               | Ryder           | 12.1693401337   <-> 12.1372709274   || 1
Ryder           | in              | 3.0262234211    <-> 3.04772377014   || 0
in              | negentien       | 2.63208007812   <-> 3.57772827148   || 0
negentien       | honderd         | 0.00237326114438 <-> 0.0209144931287 || 0
honderd         | zeven-en        | 2.14761829376   <-> 2.3002409935    || 0
zeven-en        | twintig         | 2.94986963272   <-> 3.10785341263   || 0
twintig         | liet            | 5.77912521362   <-> 4.990899086     || 1
liet            | ontwerpen       | 9.40567207336   <-> 9.29133987427   || 1
ontwerpen       | </s>            | 1.72959852219   <-> 1.57774436474   || 1
<s>             | als             | 5.01064348221   <-> 4.9756526947    || 1
als             | we              | 5.12502574921   <-> 4.6274523735    || 1
we              | de              | 2.45018553734   <-> 2.50151252747   || 0
de              | </s>            | 9.59013080597   <-> 9.22460746765   || 1
<s>             | Amerikanen      | 10.0785388947   <-> 10.3472232819   || 0
Amerikanen      | de              | 4.58074569702   <-> 4.87885284424   || 0
de              | laatste         | 5.41111087799   <-> 4.53495025635   || 1
laatste         | jaren           | 2.65003967285   <-> 3.29627490044   || 0
jaren           | op              | 4.23637866974   <-> 3.91503834724   || 1
op              | één           | 5.1763715744    <-> 4.89935970306   || 1
één           | domein          | 9.68182468414   <-> 10.3614616394   || 0
domein          | de              | 3.83702969551   <-> 4.15059089661   || 0
de              | baas            | 7.96253299713   <-> 7.99410820007   || 0
baas            | waren           | 6.75781393051   <-> 6.52736997604   || 1
waren           | dan             | 5.38454723358   <-> 5.75597667694   || 0
dan             | was             | 7.17446660995   <-> 7.92720127106   || 0
was             | het             | 1.86384534836   <-> 2.5387699604    || 0
het             | in              | 3.84718298912   <-> 3.59587526321   || 1
in              | de              | 1.21395587921   <-> 1.40210199356   || 0
de              | Ryder           | 13.9623346329   <-> 12.9563579559   || 1
Ryder           | Cup             | 3.2689974308    <-> 3.06273937225   || 1
Cup             | </s>            | 1.40566825867   <-> 1.44573378563   || 0
<s>             | de              | 1.81081914902   <-> 1.89522910118   || 0
de              | tussenstand     | 10.1349096298   <-> 9.25697422028   || 1
tussenstand     | is              | 3.2249455452    <-> 2.85562252998   || 1
is              | weliswaar       | 7.04186105728   <-> 7.49904441833   || 0
weliswaar       | van             | 4.45425891876   <-> 3.79264044762   || 1
van             | drie-en         | 5.9266576767    <-> 6.59428215027   || 0
drie-en         | twintig         | 1.05808329582   <-> 0.909256577492  || 1
twintig         | tot             | 1.1507447958    <-> 1.89540815353   || 0
tot             | zeven           | 3.81970310211   <-> 3.71542811394   || 1
zeven           | voor            | 5.13547420502   <-> 5.65406274796   || 0
voor            | de              | 1.40799546242   <-> 1.15701794624   || 1
de              | Amerikanen      | 7.5050535202    <-> 7.9906578064    || 0
Amerikanen      | maar            | 3.77575159073   <-> 4.3770275116    || 0
maar            | </s>            | 5.8621172905    <-> 5.2385263443    || 1
<s>             | Europa          | 7.17750740051   <-> 7.49929571152   || 0
Europa          | is              | 2.43207001686   <-> 2.45495128632   || 0
is              | de              | 2.71923971176   <-> 2.83219599724   || 0
de              | kloof           | 6.95089435577   <-> 7.12375497818   || 0
kloof           | langzaam        | 10.9252758026   <-> 12.0495624542   || 0
langzaam        | maar            | 3.75336313248   <-> 3.85318827629   || 0
maar            | zeker           | 5.82060241699   <-> 5.79214572906   || 1
zeker           | aan             | 5.52682781219   <-> 5.08227396011   || 1
aan             | het             | 1.95023906231   <-> 1.93669366837   || 1
het             | dichten         | 9.24882602692   <-> 10.6199655533   || 0
dichten         | </s>            | 1.46611499786   <-> 1.13515210152   || 1
<s>             | met             | 5.03548955917   <-> 4.67790222168   || 1
met             | een             | 2.33050632477   <-> 2.064889431     || 1
een             | beetje          | 4.67135620117   <-> 5.04102277756   || 0
beetje          | geluk           | 7.20114326477   <-> 6.94394302368   || 1
geluk           | hebben          | 5.34263420105   <-> 4.98765707016   || 1
hebben          | we              | 0.974291980267  <-> 1.26162946224   || 0
we              | ze              | 5.65889835358   <-> 5.10324764252   || 1
ze              | in              | 3.83731603622   <-> 3.35831022263   || 1
in              | twee            | 4.7917304039    <-> 4.58578777313   || 1
twee            | duizend         | 0.628601968288  <-> 0.404613822699  || 1
duizend         | negen-en        | 8.49938583374   <-> 7.76142120361   || 1
negen-en        | twintig         | 1.55714023113   <-> 1.75700378418   || 0
twintig         | te              | 5.60902118683   <-> 4.30385351181   || 1
te              | pakken          | 5.46938753128   <-> 5.64739894867   || 0
pakken          | </s>            | 0.526045978069  <-> 0.733669042587  || 0
<s>             | op              | 4.21737575531   <-> 4.14471054077   || 1
op              | drie-en         | 5.49207448959   <-> 6.19117927551   || 0
drie-en         | twintig         | 0.530574858189  <-> 0.544977903366  || 0
twintig         | september       | 2.82275867462   <-> 2.4910941124    || 1
september       | beginnen        | 7.8819026947    <-> 7.92493915558   || 0
beginnen        | we              | 2.03214406967   <-> 2.43880033493   || 0
we              | eraan           | 7.71405601501   <-> 8.1180524826    || 0
eraan           | deze            | 7.55323076248   <-> 8.39546871185   || 0
deze            | keer            | 4.23410987854   <-> 4.93405771255   || 0
keer            | op              | 3.04233169556   <-> 3.26098418236   || 0
op              | The             | 8.25838565826   <-> 9.03097438812   || 0
The             | <UNK>           | 1.16975498199   <-> 0.856116890907  || 1
<UNK>           | Country         | 10.8634052277   <-> 11.2618074417   || 0
Country         | </s>            | 1.34367692471   <-> 1.26418471336   || 1
<s>             | club            | 9.16096591949   <-> 8.95327281952   || 1
club            | in              | 4.48634147644   <-> 3.91823148727   || 1
in              | de              | 1.90151560307   <-> 1.59293246269   || 1
de              | staat           | 7.66464138031   <-> 7.94637393951   || 0
staat           | Massachusetts   | 11.6719417572   <-> 12.2958965302   || 0
Massachusetts   | </s>            | 1.89197862148   <-> 1.57216775417   || 1
<s>             | <UNK>           | 3.08212852478   <-> 2.91880059242   || 1
<UNK>           | we              | 7.54407691956   <-> 7.76340866089   || 0
we              | de              | 4.19031333923   <-> 3.53254151344   || 1
de              | woorden         | 7.96810054779   <-> 8.60937404633   || 0
woorden         | van             | 1.19283080101   <-> 0.979691207409  || 1
van             | Ben             | 8.07567596436   <-> 9.07803535461   || 0
Ben             | <UNK>           | 1.05478167534   <-> 1.05901837349   || 0
<UNK>           | </s>            | 1.5586026907    <-> 2.50867605209   || 0
<s>             | ik              | 3.50507831573   <-> 3.32786464691   || 1
ik              | speel           | 6.18440151215   <-> 6.20058584213   || 0
speel           | soms            | 6.20741033554   <-> 5.87551879883   || 1
soms            | met             | 3.42931246758   <-> 3.55018234253   || 0
met             | vrienden        | 6.41488981247   <-> 7.03305721283   || 0
vrienden        | maar            | 3.60201120377   <-> 3.71083426476   || 0
maar            | nooit           | 5.51609659195   <-> 6.9173874855    || 0
nooit           | vriendschappelijk | 13.3863363266   <-> 12.8915100098   || 1
vriendschappelijk | </s>            | 1.64312565327   <-> 2.02413320541   || 0
<s>             | dat             | 4.01790046692   <-> 3.84349822998   || 1
dat             | is              | 1.5145727396    <-> 1.47301888466   || 1
is              | de              | 3.47907590866   <-> 3.04421687126   || 1
de              | enige           | 3.10424971581   <-> 3.06351661682   || 1
enige           | juiste          | 7.48279094696   <-> 8.21633052826   || 0
juiste          | attitude        | 8.52569389343   <-> 8.92311096191   || 0
attitude        | </s>            | 1.04509699345   <-> 1.11969912052   || 0
<s>             | golf            | 12.1064071655   <-> 12.3675966263   || 0
golf            | is              | 2.27952456474   <-> 2.7459666729    || 0
is              | niet            | 2.72635865211   <-> 2.80847430229   || 0
niet            | om              | 5.87317562103   <-> 5.3016166687    || 1
om              | te              | 2.56249713898   <-> 2.58959960938   || 0
te              | lachen          | 5.08676433563   <-> 5.80489349365   || 0
lachen          | </s>            | 0.75616812706   <-> 0.650895595551  || 1
<s>             | een             | 3.82102179527   <-> 3.77608323097   || 1
een             | wimpel          | 14.8688058853   <-> 13.5828208923   || 1
wimpel          | voor            | 3.30073547363   <-> 3.35015296936   || 0
voor            | Gent            | 7.73618555069   <-> 7.69753408432   || 1
Gent            | </s>            | 1.82323801517   <-> 1.75245976448   || 1
<s>             | kunst           | 8.27165126801   <-> 8.87180042267   || 0
kunst           | </s>            | 2.58398413658   <-> 2.73337721825   || 0
<s>             | Gent            | 6.03052616119   <-> 7.08723640442   || 0
Gent            | eist            | 7.52883625031   <-> 7.31766033173   || 1
eist            | almaar          | 10.1895990372   <-> 10.0167608261   || 1
almaar          | nadrukkelijker  | 5.44199943542   <-> 6.49493360519   || 0
nadrukkelijker  | de              | 3.04115128517   <-> 2.85426974297   || 1
de              | blauwe          | 8.94325065613   <-> 8.3095369339    || 1
blauwe          | wimpel          | 12.2700901031   <-> 13.1950683594   || 0
wimpel          | van             | 2.1874871254    <-> 2.22828912735   || 0
van             | nationale       | 8.94716644287   <-> 8.94975185394   || 0
nationale       | <UNK>           | 1.46109843254   <-> 1.62692093849   || 0
<UNK>           | op              | 4.25415325165   <-> 4.33706903458   || 0
op              | </s>            | 2.45256757736   <-> 3.37084293365   || 0
<s>             | met             | 4.81817150116   <-> 4.73875904083   || 1
met             | grote           | 6.21623659134   <-> 6.59528446198   || 0
grote           | regelmaat       | 6.61697149277   <-> 7.83428430557   || 0
regelmaat       | maakt           | 6.83973169327   <-> 6.77499485016   || 1
maakt           | de              | 1.386297822     <-> 1.52239024639   || 0
de              | fine            | 11.6808853149   <-> 11.3910398483   || 1
fine            | fleur           | 8.81179523468   <-> 7.85218143463   || 1
fleur           | van             | 0.629297971725  <-> 0.67601197958   || 0
van             | de              | 1.02082693577   <-> 0.820370793343  || 1
de              | elektronische   | 7.95283889771   <-> 8.38837242126   || 0
elektronische   | muziek          | 4.5833234787    <-> 3.91847753525   || 1
muziek          | haar            | 6.48565864563   <-> 6.4417309761    || 1
haar            | opwachting      | 5.4705991745    <-> 6.57547092438   || 0
opwachting      | tijdens         | 7.53411340714   <-> 7.39958572388   || 1
tijdens         | </s>            | 4.33101797104   <-> 4.53251409531   || 0
<s>             | I               | 8.40301990509   <-> 8.67376327515   || 0
I               | love            | 4.62504768372   <-> 5.23631381989   || 0
love            | techno          | 8.52833366394   <-> 9.39331531525   || 0
techno          | de              | 5.16081571579   <-> 5.02880144119   || 1
de              | </s>            | 8.547996521     <-> 8.71428108215   || 0
<s>             | ten             | 7.87592887878   <-> 7.47460603714   || 1
ten             | days            | 14.4101696014   <-> 11.8681678772   || 1
days            | of              | 6.53930902481   <-> 5.54728269577   || 1
of              | techno          | 9.73396015167   <-> 9.70313930511   || 1
techno          | </s>            | 2.9081633091    <-> 2.23388934135   || 1
<s>             | de              | 2.10768508911   <-> 2.19242024422   || 0
de              | snelle          | 8.38781738281   <-> 8.3326625824    || 1
snelle          | evoluties       | 9.35547065735   <-> 9.94127845764   || 0
evoluties       | in              | 2.80798578262   <-> 2.61186695099   || 1
in              | de              | 1.12632393837   <-> 1.12415826321   || 1
de              | wereld          | 5.27561092377   <-> 4.34236097336   || 1
wereld          | van             | 2.02682065964   <-> 2.42730879784   || 0
van             | <UNK>           | 2.3677687645    <-> 2.22208690643   || 1
<UNK>           | en              | 2.2662832737    <-> 2.28515958786   || 0
en              | beats           | 10.6428146362   <-> 9.59492778778   || 1
beats           | dwingen         | 10.1264352798   <-> 10.59856987     || 0
dwingen         | </s>            | 4.19534873962   <-> 4.9270067215    || 0
<s>             | ten             | 7.16287994385   <-> 7.32925891876   || 0
ten             | days            | 14.6385383606   <-> 12.0627031326   || 1
days            | tot             | 8.21365070343   <-> 7.19736051559   || 1
tot             | een             | 2.4932205677    <-> 2.87423443794   || 0
een             | herschikking    | 10.0859937668   <-> 11.156999588    || 0
herschikking    | </s>            | 5.08792304993   <-> 3.86766076088   || 1
<s>             | techno          | 11.8587341309   <-> 11.0215005875   || 1
techno          | is              | 2.42392444611   <-> 2.65803408623   || 0
is              | immers          | 5.86568164825   <-> 6.12553215027   || 0
immers          | niet            | 2.65061092377   <-> 2.73088264465   || 0
niet            | langer          | 3.92976760864   <-> 4.62325000763   || 0
langer          | afdoende        | 10.5004138947   <-> 11.2698135376   || 0
afdoende        | om              | 4.26275634766   <-> 4.90068674088   || 0
om              | de              | 1.5302464962    <-> 1.84750890732   || 0
de              | brede           | 8.91818237305   <-> 8.69841194153   || 1
brede           | waaier          | 8.05545711517   <-> 7.71509456635   || 1
waaier          | van             | 0.853174328804  <-> 1.16571128368   || 0
van             | stijlen         | 9.1142911911    <-> 6.93202781677   || 1
stijlen         | en              | 1.84190630913   <-> 1.95373737812   || 0
en              | <UNK>           | 1.73359763622   <-> 1.97329652309   || 0
<UNK>           | te              | 1.26138353348   <-> 1.69038259983   || 0
te              | dragen          | 5.67352628708   <-> 5.06165218353   || 1
dragen          | </s>            | 0.3597266078    <-> 0.465147197247  || 0
<s>             | daarom          | 5.68703269958   <-> 6.11347866058   || 0
daarom          | heet            | 7.69286727905   <-> 7.62548828125   || 1
heet            | het             | 1.87211620808   <-> 1.79969072342   || 1
het             | tiendaagse      | 12.9391708374   <-> 13.0857486725   || 0
tiendaagse      | festival        | 6.55092048645   <-> 6.39129972458   || 1
festival        | in              | 2.68214988708   <-> 2.710927248     || 0
in              | de              | 1.65110766888   <-> 1.39553678036   || 1
de              | marge           | 6.91344642639   <-> 6.97667789459   || 0
marge           | van             | 0.295158445835  <-> 0.410856932402  || 0
van             | de              | 1.10433495045   <-> 0.989696919918  || 1
de              | Gentse          | 6.08909702301   <-> 5.63769245148   || 1
Gentse          | </s>            | 8.61289024353   <-> 6.86569213867   || 1
<s>             | feesten         | 11.1456260681   <-> 11.3059463501   || 0
feesten         | voortaan        | 8.88096618652   <-> 9.80562973022   || 0
voortaan        | </s>            | 2.69191789627   <-> 3.31074500084   || 0
<s>             | ten             | 7.34210968018   <-> 7.3102388382    || 1
ten             | days            | 15.1340579987   <-> 13.2156143188   || 1
days            | off             | 10.9127845764   <-> 10.3875761032   || 1
off             | </s>            | 4.10872650146   <-> 2.77504825592   || 1
<s>             | de              | 1.85528504848   <-> 1.91787528992   || 0
de              | hoorn           | 11.2514533997   <-> 10.3843173981   || 1
hoorn           | des             | 6.22030878067   <-> 6.41014623642   || 0
des             | <UNK>           | 1.19597351551   <-> 0.956713199615  || 1
<UNK>           | zorgt           | 7.28731393814   <-> 7.37832832336   || 0
zorgt           | er              | 3.87216210365   <-> 3.6386475563    || 1
er              | ook             | 2.38326215744   <-> 3.05555677414   || 0
ook             | voor            | 1.79875302315   <-> 2.49229669571   || 0
voor            | dat             | 3.45655179024   <-> 3.5934586525    || 0
dat             | een             | 3.19946813583   <-> 3.39508104324   || 0
een             | aantal          | 4.34367799759   <-> 5.16940784454   || 0
aantal          | avonden         | 9.11213684082   <-> 8.73152256012   || 1
avonden         | een             | 3.29309558868   <-> 3.17161226273   || 1
een             | specifiek       | 7.9385099411    <-> 8.72304916382   || 0
specifiek       | etiket          | 8.3348941803    <-> 8.278673172     || 1
etiket          | krijgt          | 5.34103059769   <-> 6.09330463409   || 0
krijgt          | opgekleefd      | 12.833363533    <-> 13.178155899    || 0
opgekleefd      | </s>            | 0.73642873764   <-> 0.883538782597  || 0
<s>             | zo              | 5.39573955536   <-> 4.99352264404   || 1
zo              | zijn            | 4.03758907318   <-> 4.00492668152   || 1
zijn            | er              | 1.32860767841   <-> 1.56935334206   || 0
er              | <UNK>           | 3.89422512054   <-> 3.90693044662   || 0
<UNK>           | rond            | 6.63485860825   <-> 6.93813371658   || 0
rond            | de              | 1.5275914669    <-> 1.6201479435    || 0
de              | Britse          | 6.83070278168   <-> 7.00654268265   || 0
Britse          | DJ              | 9.39193153381   <-> 8.98243713379   || 1
DJ              | producer        | 10.6585960388   <-> 9.89837646484   || 1
producer        | Andrew          | 6.86134529114   <-> 6.80228948593   || 1
Andrew          | <UNK>           | 1.08566188812   <-> 1.14034879208   || 0
<UNK>           | en              | 2.55992078781   <-> 2.47349119186   || 1
en              | het             | 3.2733001709    <-> 3.65968608856   || 0
het             | Planet          | 13.6447982788   <-> 12.4031572342   || 1
Planet          | <UNK>           | 1.21183991432   <-> 1.13830816746   || 1
<UNK>           | van             | 2.69224977493   <-> 2.72699761391   || 0
van             | <UNK>           | 1.98857116699   <-> 2.04087209702   || 0
<UNK>           | Carl            | 9.80508708954   <-> 9.45869064331   || 1
Carl            | Craig           | 8.51984596252   <-> 8.18792057037   || 1
Craig           | </s>            | 1.11127960682   <-> 1.76501059532   || 0
<s>             | de              | 2.00605106354   <-> 2.05609154701   || 0
de              | nieuwe          | 4.59805107117   <-> 4.6771736145    || 0
nieuwe          | Franse          | 6.23438310623   <-> 6.43554639816   || 0
Franse          | lichting        | 10.2430639267   <-> 8.205037117     || 1
lichting        | komt            | 6.81153726578   <-> 6.69942474365   || 1
komt            | met             | 3.81509447098   <-> 3.81062555313   || 1
met             | een             | 1.71116411686   <-> 1.71733736992   || 0
een             | busje           | 10.0232887268   <-> 10.6935348511   || 0
busje           | en              | 3.13159155846   <-> 3.06877040863   || 1
en              | schuift         | 9.77516841888   <-> 10.4455461502   || 0
schuift         | met             | 4.39683198929   <-> 4.22171592712   || 1
met             | de              | 1.60900533199   <-> 1.64765393734   || 0
de              | nodige          | 5.17346429825   <-> 6.60627412796   || 0
nodige          | fierheid        | 10.6945886612   <-> 11.0090427399   || 0
fierheid        | <UNK>           | 4.02529239655   <-> 4.07486534119   || 0
<UNK>           | naar            | 4.4385266304    <-> 5.55533790588   || 0
naar            | voren           | 4.93890571594   <-> 5.38268089294   || 0
voren           | </s>            | 0.853351712227  <-> 0.472018182278  || 1
<s>             | het             | 2.73039531708   <-> 2.72289991379   || 1
het             | trio            | 6.87439584732   <-> 6.70666313171   || 1
trio            | mengt           | 9.74057865143   <-> 9.43058013916   || 1
mengt           | elektro         | 13.7078943253   <-> 13.3104162216   || 1
elektro         | disco           | 11.4923725128   <-> 11.6126537323   || 0
disco           | house           | 9.29647636414   <-> 8.78416061401   || 1
house           | techno          | 8.01159858704   <-> 8.25021648407   || 0
techno          | en              | 0.988113045692  <-> 1.07305192947   || 0
en              | hiphop          | 6.81376361847   <-> 6.8500957489    || 0
hiphop          | en              | 2.18540668488   <-> 1.75890302658   || 1
en              | meldt           | 11.0562782288   <-> 11.005569458    || 1
meldt           | zich            | 5.31771659851   <-> 4.35624885559   || 1
zich            | als             | 4.71683979034   <-> 4.25826931      || 1
als             | de              | 2.142588377     <-> 2.22959852219   || 0
de              | opvolger        | 8.0748796463    <-> 7.78653144836   || 1
opvolger        | van             | 0.520992517471  <-> 0.583880901337  || 0
van             | Daft            | 10.7748851776   <-> 10.7939500809   || 0
Daft            | Punk            | 7.65045404434   <-> 8.23710823059   || 0
Punk            | en              | 2.43031692505   <-> 2.00259566307   || 1
en              | Cassius         | 12.1344747543   <-> 11.4663057327   || 1
Cassius         | </s>            | 3.62187814713   <-> 2.68508243561   || 1
<s>             | een             | 3.51782369614   <-> 3.42921471596   || 1
een             | andere          | 4.90944862366   <-> 4.82878875732   || 1
andere          | <UNK>           | 1.90076005459   <-> 1.71028184891   || 1
<UNK>           | is              | 2.37878894806   <-> 2.72389173508   || 0
is              | de              | 2.76307320595   <-> 2.83256363869   || 0
de              | markante        | 11.7576122284   <-> 10.9566011429   || 1
markante        | Britse          | 7.58732795715   <-> 8.31199455261   || 0
Britse          | DJ              | 7.9211268425    <-> 7.90727519989   || 1
DJ              | <UNK>           | 1.74361896515   <-> 1.87466442585   || 0
<UNK>           | <UNK>           | 1.56610035896   <-> 1.74092459679   || 0
<UNK>           | </s>            | 1.18238830566   <-> 1.43242061138   || 0
<s>             | sinds           | 6.34550380707   <-> 6.99699115753   || 0
sinds           | het             | 2.36931443214   <-> 2.67580366135   || 0
het             | midden          | 5.21722459793   <-> 5.43385791779   || 0
midden          | van             | 0.418067246675  <-> 0.416705191135  || 1
van             | de              | 0.788577795029  <-> 0.905223011971  || 0
de              | jaren           | 1.4921425581    <-> 2.64201951027   || 0
jaren           | zeventig        | 1.51456344128   <-> 1.90956532955   || 0
zeventig        | is              | 2.75107526779   <-> 2.97376537323   || 0
is              | de              | 1.48397982121   <-> 1.55619585514   || 0
de              | voormalige      | 6.80742359161   <-> 7.26534223557   || 0
voormalige      | Schotse         | 8.59826946259   <-> 8.09300899506   || 1
Schotse         | <UNK>           | 1.81834554672   <-> 1.71700227261   || 1
<UNK>           | op              | 5.0053653717    <-> 4.41027784348   || 1
op              | zoek            | 3.10821390152   <-> 3.90319347382   || 0
zoek            | naar            | 0.386390388012  <-> 0.370905995369  || 1
naar            | sterke          | 8.94761657715   <-> 9.00953197479   || 0
sterke          | maar            | 8.51268005371   <-> 7.62157821655   || 1
maar            | <UNK>           | 2.6565155983    <-> 2.13334536552   || 1
<UNK>           | funk            | 10.7236633301   <-> 9.6321811676    || 1
funk            | en              | 1.53704178333   <-> 1.75046396255   || 0
en              | <UNK>           | 1.25489425659   <-> 1.37511062622   || 0
<UNK>           | </s>            | 1.11842632294   <-> 1.30240857601   || 0
<s>             | door            | 5.44743204117   <-> 5.80788612366   || 0
door            | de              | 1.27485096455   <-> 1.17961633205   || 1
de              | zaak            | 8.43312168121   <-> 7.88097667694   || 1
zaak            | exclusief       | 12.2021007538   <-> 11.2711553574   || 1
exclusief       | te              | 3.15894508362   <-> 3.93334960938   || 0
te              | houden          | 4.86760902405   <-> 4.68192577362   || 1
houden          | heeft           | 3.63150954247   <-> 4.19730186462   || 0
heeft           | hij             | 2.1233124733    <-> 1.92226970196   || 1
hij             | in              | 3.67547512054   <-> 3.41637992859   || 1
in              | eigen           | 5.49367952347   <-> 5.59038686752   || 0
eigen           | land            | 2.23960065842   <-> 1.88381993771   || 1
land            | een             | 2.17792201042   <-> 2.26736736298   || 0
een             | fanatiek        | 11.4890880585   <-> 11.1604557037   || 1
fanatiek        | publiek         | 6.34371089935   <-> 5.74131155014   || 1
publiek         | opgebouwd       | 6.22683811188   <-> 5.89088344574   || 1
opgebouwd       | </s>            | 1.01040172577   <-> 1.02063679695   || 0
<s>             | sinds           | 6.55070972443   <-> 6.76948451996   || 0
sinds           | enkele          | 5.06856679916   <-> 4.804251194     || 1
enkele          | jaren           | 0.352699518204  <-> 0.629813432693  || 0
jaren           | brengt          | 6.71728992462   <-> 7.53350305557   || 0
brengt          | hij             | 1.29707181454   <-> 1.89034426212   || 0
hij             | zijn            | 3.92727518082   <-> 4.38072395325   || 0
zijn            | schatten        | 12.8932495117   <-> 12.0093040466   || 1
schatten        | uit             | 3.51786828041   <-> 3.58304595947   || 0
uit             | op              | 4.46852445602   <-> 4.40107059479   || 1
op              | de              | 1.40469574928   <-> 1.35110545158   || 1
de              | <UNK>           | 2.15736794472   <-> 1.71848082542   || 1
<UNK>           | </s>            | 1.40473020077   <-> 1.7198073864    || 0
<s>             | <UNK>           | 2.98493552208   <-> 2.88590431213   || 1
<UNK>           | deep            | 12.2307796478   <-> 11.8038492203   || 1
deep            | funk            | 9.00317764282   <-> 9.5756816864    || 0
funk            | en              | 1.90666508675   <-> 1.82454693317   || 1
en              | wisselt         | 11.7652235031   <-> 11.2570562363   || 1
wisselt         | hij             | 3.86102366447   <-> 4.29102325439   || 0
hij             | druk            | 9.7976770401    <-> 10.3302984238   || 0
druk            | plaatjes        | 13.5595207214   <-> 13.1826591492   || 1
plaatjes        | met             | 3.35894966125   <-> 3.2255384922    || 1
met             | DJ              | 10.4235973358   <-> 9.55658626556   || 1
DJ              | Shadow          | 9.56277561188   <-> 9.92052745819   || 0
Shadow          | </s>            | 1.61800587177   <-> 1.22703051567   || 1
<s>             | opmerkelijk     | 8.42154502869   <-> 8.88881969452   || 0
opmerkelijk     | is              | 1.25607907772   <-> 1.47619903088   || 0
is              | het             | 2.53425908089   <-> 2.37118768692   || 1
het             | zware           | 8.4992980957    <-> 9.02074623108   || 0
zware           | accent          | 7.28542137146   <-> 8.05208206177   || 0
accent          | dat             | 3.23943996429   <-> 3.13953089714   || 1
dat             | gelegd          | 14.7996683121   <-> 13.0141773224   || 1
gelegd          | wordt           | 2.26550316811   <-> 2.50962615013   || 0
wordt           | op              | 2.60372114182   <-> 3.20804834366   || 0
op              | drum'n'bass     | 12.8016347885   <-> 10.877204895    || 1
drum'n'bass     | </s>            | 1.09496569633   <-> 1.03277719021   || 1
<s>             | de              | 1.88788616657   <-> 2.05565667152   || 0
de              | snelle          | 7.90740966797   <-> 8.19750785828   || 0
snelle          | en              | 5.26648855209   <-> 5.05703306198   || 1
en              | technisch       | 7.30668830872   <-> 8.97265052795   || 0
technisch       | behoorlijk      | 10.1100215912   <-> 10.4599142075   || 0
behoorlijk      | ingenieuze      | 10.6854333878   <-> 9.95153331757   || 1
ingenieuze      | <UNK>           | 1.94104373455   <-> 1.90976953506   || 1
<UNK>           | was             | 5.0127863884    <-> 4.89764928818   || 1
was             | immers          | 5.64018058777   <-> 5.98625946045   || 0
immers          | al              | 3.56084012985   <-> 3.42214250565   || 1
al              | opgegeven       | 10.575717926    <-> 10.1785335541   || 1
opgegeven       | </s>            | 0.578672766685  <-> 0.713093400002  || 0
<s>             | de              | 1.87713050842   <-> 2.01769542694   || 0
de              | mislukte        | 9.62134742737   <-> 9.77372074127   || 0
mislukte        | poging          | 7.29818868637   <-> 6.81428432465   || 1
poging          | om              | 1.93957066536   <-> 1.9009693861    || 1
om              | het             | 2.60528373718   <-> 2.64432954788   || 0
het             | brede           | 9.54728507996   <-> 8.58549499512   || 1
brede           | publiek         | 4.28402423859   <-> 3.52512907982   || 1
publiek         | te              | 1.22081065178   <-> 1.47842657566   || 0
te              | bereiken        | 4.12757301331   <-> 4.10093784332   || 1
bereiken        | is              | 2.42267107964   <-> 2.3182914257    || 1
is              | echter          | 4.93456077576   <-> 5.20854902267   || 0
echter          | een             | 2.55756855011   <-> 2.50331926346   || 1
een             | creatieve       | 8.7075510025    <-> 8.72525787354   || 0
creatieve       | zegen           | 8.29571723938   <-> 9.36527061462   || 0
zegen           | gebleken        | 8.3146686554    <-> 10.427614212    || 0
gebleken        | </s>            | 0.458943426609  <-> 0.919791460037  || 0
<s>             | in              | 3.37530827522   <-> 3.24707150459   || 1
in              | de              | 1.14662277699   <-> 1.20689642429   || 0
de              | ondergrond      | 8.85438919067   <-> 9.61386585236   || 0
ondergrond      | <UNK>           | 4.20763683319   <-> 3.99145936966   || 1
<UNK>           | en              | 3.56089377403   <-> 4.54747676849   || 0
en              | <UNK>           | 1.89883673191   <-> 1.62946641445   || 1
<UNK>           | het             | 4.6110906601    <-> 4.14968776703   || 1
het             | als             | 7.35834312439   <-> 6.22845649719   || 1
als             | nooit           | 8.22794246674   <-> 9.47218608856   || 0
