input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
een             | slok            | 9.48337173462   <-> 9.2957611084    || 1
slok            | op              | 2.99884390831   <-> 3.04975986481   || 0
op              | de              | 1.28590846062   <-> 1.43965697289   || 0
de              | borrel          | 10.1655073166   <-> 8.32943630219   || 1
borrel          | voor            | 4.50142621994   <-> 4.36825942993   || 1
voor            | de              | 1.06006145477   <-> 1.27937352657   || 0
de              | publieke        | 8.33115386963   <-> 7.61857891083   || 1
publieke        | belangstelling  | 7.76641464233   <-> 6.64169549942   || 1
belangstelling  | en              | 2.844383955     <-> 3.22693014145   || 0
en              | de              | 1.58183860779   <-> 1.99759292603   || 0
de              | <UNK>           | 1.71573364735   <-> 2.03694295883   || 0
<UNK>           | </s>            | 1.69456100464   <-> 1.68582618237   || 1
<s>             | zeker           | 7.47850942612   <-> 7.36964607239   || 1
zeker           | omdat           | 5.82452774048   <-> 5.10565185547   || 1
omdat           | <UNK>           | 3.71772122383   <-> 3.90653443336   || 0
<UNK>           | zichzelf        | 7.47939968109   <-> 7.02210426331   || 1
zichzelf        | niet            | 3.44743680954   <-> 2.75901174545   || 1
niet            | met             | 5.08962535858   <-> 4.84745788574   || 1
met             | goed            | 7.7994389534    <-> 7.29463529587   || 1
goed            | fatsoen         | 10.6971178055   <-> 8.2750787735    || 1
fatsoen         | kon             | 4.73758602142   <-> 4.80061006546   || 0
kon             | selecteren      | 8.68536186218   <-> 8.21172714233   || 1
selecteren      | </s>            | 0.5550801754    <-> 0.599735677242  || 0
<s>             | het             | 2.62368512154   <-> 2.96750378609   || 0
het             | is              | 1.78868865967   <-> 2.02533483505   || 0
is              | reglementair    | 12.5854892731   <-> 12.0864019394   || 1
reglementair    | niet            | 3.73824214935   <-> 3.0641617775    || 1
niet            | verboden        | 8.61297225952   <-> 8.29122924805   || 1
verboden        | dat             | 3.03243708611   <-> 3.21013212204   || 0
dat             | de              | 1.58643507957   <-> 1.57965362072   || 1
de              | captain         | 12.781080246    <-> 12.3876428604   || 1
captain         | mee             | 7.79911994934   <-> 7.62703943253   || 1
mee             | speelt          | 7.60137939453   <-> 7.14983081818   || 1
speelt          | maar            | 4.15299797058   <-> 3.59133529663   || 1
maar            | </s>            | 6.36630249023   <-> 5.90359020233   || 1
<s>             | <UNK>           | 3.38027763367   <-> 3.3469645977    || 1
<UNK>           | was             | 4.30121898651   <-> 4.69832706451   || 0
was             | ondertussen     | 7.05383205414   <-> 7.22296905518   || 0
ondertussen     | zo              | 5.17728996277   <-> 4.97499084473   || 1
zo              | slecht          | 4.63853740692   <-> 4.84548091888   || 0
slecht          | geworden        | 4.11204767227   <-> 4.48221206665   || 0
geworden        | dat             | 2.84441590309   <-> 3.55478572845   || 0
dat             | hij             | 2.4312877655    <-> 2.70989847183   || 0
hij             | dat             | 5.27652359009   <-> 4.644967556     || 1
dat             | echt            | 6.82855319977   <-> 5.59043312073   || 1
echt            | niet            | 3.1732878685    <-> 3.05691814423   || 1
niet            | meer            | 3.07872724533   <-> 3.43703556061   || 0
meer            | kon             | 4.36266613007   <-> 3.30246686935   || 1
kon             | maken           | 3.71517920494   <-> 3.64218211174   || 1
maken           | </s>            | 0.436169952154  <-> 0.373808711767  || 1
<s>             | van             | 4.73163604736   <-> 5.16905021667   || 0
van             | <UNK>           | 2.64718198776   <-> 3.32006669044   || 0
<UNK>           | werd            | 4.34112453461   <-> 4.13689565659   || 1
werd            | vroeger         | 8.11965942383   <-> 7.87332105637   || 1
vroeger         | toen            | 6.13052177429   <-> 5.25121736526   || 1
toen            | hij             | 3.23204445839   <-> 3.76995134354   || 0
hij             | nog             | 3.83805513382   <-> 3.55667209625   || 1
nog             | de              | 3.46971416473   <-> 3.62651515007   || 0
de              | absolute        | 7.5380191803    <-> 7.56279850006   || 0
absolute        | nummer          | 7.77094221115   <-> 7.70393133163   || 1
nummer          | één           | 2.33119797707   <-> 2.94088125229   || 0
één           | in              | 2.85245013237   <-> 3.15174221992   || 0
in              | de              | 1.11287522316   <-> 1.18471264839   || 0
de              | wereld          | 4.92089366913   <-> 4.26432132721   || 1
wereld          | was             | 3.55531930923   <-> 3.56506562233   || 0
was             | al              | 7.571372509     <-> 6.97811746597   || 1
al              | gezegd          | 7.23127746582   <-> 7.43749713898   || 0
gezegd          | dat             | 1.45478212833   <-> 2.15885710716   || 0
dat             | hij             | 1.68498051167   <-> 2.01183462143   || 0
hij             | de              | 2.54211211205   <-> 2.55416178703   || 0
de              | enige           | 5.28297138214   <-> 4.81029748917   || 1
enige           | speler          | 7.34446716309   <-> 6.04454517365   || 1
speler          | was             | 3.4904088974    <-> 2.70690155029   || 1
was             | die             | 4.71572160721   <-> 3.25318455696   || 1
die             | zijn            | 3.97901916504   <-> 3.32056665421   || 1
zijn            | tweede          | 5.87966632843   <-> 5.50705385208   || 1
tweede          | shot            | 10.6019382477   <-> 9.58067989349   || 1
shot            | van             | 3.33630394936   <-> 3.17340707779   || 1
van             | boven           | 8.78656768799   <-> 8.96915245056   || 0
boven           | in              | 5.84111976624   <-> 5.01135587692   || 1
in              | een             | 2.69019961357   <-> 3.1934735775    || 0
een             | boom            | 7.01494264603   <-> 6.33434581757   || 1
boom            | nam             | 6.5665268898    <-> 5.87547206879   || 1
nam             | zonder          | 6.70452785492   <-> 6.59001350403   || 1
zonder          | erbij           | 9.43959903717   <-> 10.2094898224   || 0
erbij           | stil            | 9.93210697174   <-> 9.3657875061    || 1
stil            | te              | 2.50329089165   <-> 1.923001647     || 1
te              | staan           | 4.2774105072    <-> 3.60750794411   || 1
staan           | dat             | 4.53684282303   <-> 4.9194817543    || 0
dat             | dit             | 4.95220661163   <-> 5.55858945847   || 0
dit             | niet            | 3.36663889885   <-> 3.65489506721   || 0
niet            | tot             | 4.91780948639   <-> 5.76738548279   || 0
tot             | de              | 1.76237010956   <-> 1.82777643204   || 0
de              | gangbare        | 9.5951499939    <-> 9.4372882843    || 1
gangbare        | praktijken      | 8.79267692566   <-> 8.33470153809   || 1
praktijken      | van             | 1.63214087486   <-> 1.83676815033   || 0
van             | het             | 2.06155490875   <-> 1.97442913055   || 1
het             | spel            | 6.69922637939   <-> 5.40959882736   || 1
spel            | behoorde        | 9.52818775177   <-> 7.8235001564    || 1
behoorde        | </s>            | 0.543139159679  <-> 0.233905255795  || 1
<s>             | <UNK>           | 3.0827832222    <-> 3.1438331604    || 0
<UNK>           | bleef           | 6.94421482086   <-> 6.57155179977   || 1
bleef           | aan             | 4.9990234375    <-> 5.25121021271   || 0
aan             | de              | 1.16116213799   <-> 0.998800396919  || 1
de              | kant            | 4.37982463837   <-> 3.13930630684   || 1
kant            | <UNK>           | 4.54632759094   <-> 4.69652891159   || 0
<UNK>           | kreeg           | 8.75440311432   <-> 9.17196083069   || 0
kreeg           | geen            | 5.12914705276   <-> 5.76092243195   || 0
geen            | wildcard        | 10.75248909     <-> 9.9935836792    || 1
wildcard        | maar            | 3.95719718933   <-> 3.20086956024   || 1
maar            | werd            | 6.05279159546   <-> 4.84149456024   || 1
werd            | in              | 3.48356723785   <-> 3.37767791748   || 1
in              | extremis        | 7.16860675812   <-> 6.12248420715   || 1
extremis        | opgevist        | 9.69465923309   <-> 9.09963607788   || 1
opgevist        | toen            | 4.93844032288   <-> 5.28953933716   || 0
toen            | <UNK>           | 3.30437850952   <-> 3.55361461639   || 0
<UNK>           | Martin          | 8.41296386719   <-> 8.10206222534   || 1
Martin          | met             | 5.25331163406   <-> 4.45667076111   || 1
met             | een             | 2.12282276154   <-> 2.06632137299   || 1
een             | <UNK>           | 1.6595056057    <-> 1.9586032629    || 0
<UNK>           | forfait         | 10.7314691544   <-> 9.40256595612   || 1
forfait         | moest           | 5.25426149368   <-> 4.01251316071   || 1
moest           | geven           | 3.73443984985   <-> 3.27793192863   || 1
geven           | </s>            | 0.567667245865  <-> 0.455343127251  || 1
<s>             | moest           | 9.3926153183    <-> 7.09806680679   || 1
moest           | geven           | 8.29694080353   <-> 8.71714496613   || 0
geven           | was             | 7.05655908585   <-> 4.15526199341   || 1
was             | in              | 3.39161539078   <-> 4.47360706329   || 0
in              | dit             | 4.95792293549   <-> 5.63837814331   || 0
dit             | geval           | 1.41553294659   <-> 0.992923378944  || 1
geval           | letterlijk      | 8.74626922607   <-> 9.38884067535   || 0
letterlijk      | te              | 3.74759531021   <-> 3.75094437599   || 0
te              | nemen           | 5.17365026474   <-> 6.32973957062   || 0
nemen           | want            | 5.99385499954   <-> 5.02867889404   || 1
want            | </s>            | 7.4046163559    <-> 7.92139387131   || 0
<s>             | Martin          | 9.11528873444   <-> 8.45709991455   || 1
Martin          | wou             | 8.00889110565   <-> 5.81453037262   || 1
wou             | spelen          | 7.79764556885   <-> 8.1142988205    || 0
spelen          | weigerde        | 12.1636066437   <-> 10.5352926254   || 1
weigerde        | om              | 4.21898937225   <-> 5.25849866867   || 0
om              | op              | 4.34533691406   <-> 4.27033185959   || 1
op              | bevel           | 9.63782215118   <-> 8.25986862183   || 1
bevel           | van             | 1.67610490322   <-> 2.52832078934   || 0
van             | <UNK>           | 2.75737285614   <-> 2.92649292946   || 0
<UNK>           | zijn            | 6.06721496582   <-> 5.40314817429   || 1
zijn            | <UNK>           | 2.09433269501   <-> 2.79695987701   || 0
<UNK>           | te              | 1.31305861473   <-> 0.611923575401  || 1
