input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
van             | start           | 7.73232841492   <-> 7.2452788353    || 1
start           | te              | 1.21012234688   <-> 0.768207848072  || 1
te              | kunnen          | 4.23660326004   <-> 4.45862865448   || 0
kunnen          | gaan            | 3.27577137947   <-> 2.80636954308   || 1
gaan            | in              | 3.48349571228   <-> 3.61249661446   || 0
in              | de              | 1.08161389828   <-> 1.11774253845   || 0
de              | eerste          | 3.63365507126   <-> 3.16178965569   || 1
eerste          | ronde           | 2.0380449295    <-> 1.76835012436   || 1
ronde           | moest           | 7.87506484985   <-> 9.14331531525   || 0
moest           | clubs           | 11.173582077    <-> 10.9647054672   || 1
clubs           | en              | 3.57759046555   <-> 3.34271621704   || 1
en              | een             | 3.32021450996   <-> 4.07574987411   || 0
een             | <UNK>           | 1.81664872169   <-> 2.32077789307   || 0
<UNK>           | lenen           | 10.0421724319   <-> 9.77938461304   || 1
lenen           | en              | 3.29951810837   <-> 3.6011967659    || 0
en              | won             | 8.3104391098    <-> 7.46591997147   || 1
won             | tot             | 5.42410469055   <-> 4.73551845551   || 1
tot             | <UNK>           | 3.653870821     <-> 3.70314407349   || 0
<UNK>           | verbijstering   | 12.3745756149   <-> 12.512046814    || 0
verbijstering   | het             | 5.35148048401   <-> 5.94829654694   || 0
het             | toernooi        | 8.32333660126   <-> 7.95999908447   || 1
toernooi        | </s>            | 2.06363463402   <-> 2.09374761581   || 0
<s>             | John            | 8.01948833466   <-> 8.59737968445   || 0
John            | wie             | 11.9327535629   <-> 11.4339675903   || 1
wie             | zonder          | 6.89409351349   <-> 7.03077697754   || 0
zonder          | zonde           | 10.3248262405   <-> 11.0529241562   || 0
zonde           | is              | 2.31973433495   <-> 2.48025774956   || 0
is              | <UNK>           | 4.15378665924   <-> 4.25574302673   || 0
<UNK>           | de              | 2.2889418602    <-> 3.10065579414   || 0
de              | eerste          | 4.06603574753   <-> 4.01656627655   || 1
eerste          | steen           | 7.08846569061   <-> 7.33267498016   || 0
steen           | raakte          | 10.0694179535   <-> 11.3552284241   || 0
raakte          | daarna          | 7.06137180328   <-> 7.4653840065    || 0
daarna          | aan             | 4.64073753357   <-> 4.68274402618   || 0
aan             | de              | 1.07216823101   <-> 0.907727241516  || 1
de              | drank           | 9.27115440369   <-> 8.47234153748   || 1
drank           | </s>            | 1.19046187401   <-> 1.27198565006   || 0
<s>             | hij             | 3.12394285202   <-> 3.29211616516   || 0
hij             | stelde          | 5.96304798126   <-> 5.97920513153   || 0
stelde          | zich            | 3.00938987732   <-> 3.62274885178   || 0
zich            | gewelddadig     | 12.1632995605   <-> 12.0696687698   || 1
gewelddadig     | op              | 2.47248649597   <-> 2.43836116791   || 1
op              | tegen           | 5.56444787979   <-> 5.06475543976   || 1
tegen           | zijn            | 3.49560642242   <-> 3.22670698166   || 1
zijn            | eerste          | 4.28866004944   <-> 4.57175970078   || 0
eerste          | vervolgens      | 13.5569877625   <-> 12.2411613464   || 1
vervolgens      | tegen           | 5.21737861633   <-> 4.68267679214   || 1
tegen           | zijn            | 3.6461353302    <-> 3.3407702446    || 1
zijn            | tweede          | 5.37835216522   <-> 4.8985786438    || 1
tweede          | en              | 4.67733097076   <-> 4.55265712738   || 1
en              | tenslotte       | 9.97812747955   <-> 10.8605680466   || 0
tenslotte       | tegen           | 6.05543708801   <-> 5.6659655571    || 1
tegen           | zijn            | 3.7059879303    <-> 3.39457511902   || 1
zijn            | derde           | 5.71047115326   <-> 5.45355463028   || 1
derde           | echtgenote      | 8.17207527161   <-> 8.43217182159   || 0
echtgenote      | volgde          | 9.13823795319   <-> 10.8350400925   || 0
volgde          | een             | 3.28590488434   <-> 3.19699001312   || 1
een             | <UNK>           | 1.66836202145   <-> 2.01839113235   || 0
<UNK>           | in              | 2.78159093857   <-> 2.70581150055   || 1
in              | de              | 1.26181769371   <-> 1.11528635025   || 1
de              | Betty           | 13.7986850739   <-> 13.4911022186   || 1
Betty           | Ford            | 9.18842029572   <-> 9.13181018829   || 1
Ford            | kliniek         | 14.2404327393   <-> 14.4539308548   || 0
kliniek         | zwoer           | 12.6362514496   <-> 13.6402711868   || 0
zwoer           | de              | 1.95614600182   <-> 2.16981863976   || 0
de              | drank           | 10.0463199615   <-> 10.1691265106   || 0
drank           | af              | 5.50553941727   <-> 4.9406375885    || 1
af              | won             | 12.4997138977   <-> 11.8972740173   || 1
won             | de              | 1.96322226524   <-> 2.17865395546   || 0
de              | British         | 11.0173015594   <-> 10.5639133453   || 1
British         | Open            | 5.05687904358   <-> 1.80732572079   || 1
Open            | op              | 4.21776580811   <-> 4.74164152145   || 0
op              | de              | 1.32084321976   <-> 1.48206663132   || 0
de              | heilige         | 9.4435634613    <-> 9.52017402649   || 0
heilige         | Old             | 8.55185699463   <-> 8.0012588501    || 1
Old             | <UNK>           | 1.30413377285   <-> 1.4171423912    || 0
<UNK>           | van             | 2.95345568657   <-> 2.63555240631   || 1
van             | Saint           | 9.50473403931   <-> 9.99474048615   || 0
Saint           | Andrews         | 11.1828727722   <-> 9.53741455078   || 1
Andrews         | raakte          | 10.3267946243   <-> 10.9440975189   || 0
raakte          | weer            | 6.5144405365    <-> 6.61785078049   || 0
weer            | aan             | 4.21781253815   <-> 4.15177774429   || 1
aan             | de              | 1.22191214561   <-> 0.844451069832  || 1
de              | drank           | 8.86362838745   <-> 8.94850730896   || 0
drank           | gaf             | 9.90544223785   <-> 8.17841625214   || 1
gaf             | zijn            | 4.4671163559    <-> 5.22337579727   || 0
zijn            | tweede          | 6.19129753113   <-> 5.87469816208   || 1
tweede          | vrouw           | 5.22568368912   <-> 4.82013225555   || 1
vrouw           | een             | 2.97487926483   <-> 3.2181224823    || 0
een             | ongelukkige     | 8.80591583252   <-> 8.12591266632   || 1
ongelukkige     | slag            | 8.60894107819   <-> 6.92391633987   || 1
slag            | enzovoort       | 11.2220993042   <-> 11.3296451569   || 0
enzovoort       | enzovoort       | 10.127248764    <-> 10.7854919434   || 0
enzovoort       | </s>            | 0.364114016294  <-> 0.149049535394  || 1
<s>             | dat             | 3.93316459656   <-> 3.78410983086   || 1
dat             | alles           | 6.72454690933   <-> 6.29387283325   || 1
alles           | was             | 2.93165683746   <-> 3.13703370094   || 0
was             | niets           | 6.38196754456   <-> 6.27043914795   || 1
niets           | vergeleken      | 9.40042877197   <-> 9.2691116333    || 1
vergeleken      | bij             | 4.97649812698   <-> 5.29893302917   || 0
bij             | wat             | 5.69116830826   <-> 5.38061857224   || 1
wat             | hem             | 5.43834686279   <-> 5.44582033157   || 0
hem             | overkwam        | 9.56339454651   <-> 8.83376312256   || 1
overkwam        | in              | 3.53434228897   <-> 4.09555339813   || 0
in              | de              | 1.16538345814   <-> 1.1817510128    || 0
de              | slotronde       | 10.0113286972   <-> 9.03633499146   || 1
slotronde       | van             | 2.22256088257   <-> 2.25060009956   || 0
van             | de              | 1.11715316772   <-> 1.26949357986   || 0
de              | US              | 8.23571109772   <-> 7.48763465881   || 1
US              | Open            | 1.21889269352   <-> 0.60663664341   || 1
Open            | op              | 4.8092918396    <-> 5.40588998795   || 0
op              | de              | 1.14171409607   <-> 1.4642021656    || 0
de              | achtste         | 6.90938949585   <-> 6.37488555908   || 1
achtste         | hole            | 12.1457967758   <-> 10.1441068649   || 1
hole            | van             | 2.66953420639   <-> 1.78401648998   || 1
van             | <UNK>           | 2.71080684662   <-> 2.79086351395   || 0
<UNK>           | </s>            | 0.826415419579  <-> 0.513204932213  || 1
<s>             | voor            | 4.61495113373   <-> 4.63303756714   || 0
voor            | </s>            | 8.17169380188   <-> 8.58694076538   || 0
<s>             | <UNK>           | 3.16845321655   <-> 3.03640079498   || 1
<UNK>           | meteen          | 8.8640460968    <-> 8.88397026062   || 0
meteen          | omgedoopt       | 10.870303154    <-> 10.9467411041   || 0
omgedoopt       | tot             | 1.80500996113   <-> 0.730029284954  || 1
tot             | <UNK>           | 2.41265249252   <-> 2.62861967087   || 0
<UNK>           | </s>            | 1.1451536417    <-> 1.02068674564   || 1
<s>             | gelukkig        | 8.3150510788    <-> 7.06738090515   || 1
gelukkig        | ligt            | 5.86955881119   <-> 5.9974155426    || 0
ligt            | die             | 5.63377094269   <-> 5.42266273499   || 1
die             | achtste         | 8.70793628693   <-> 8.53472805023   || 1
achtste         | nogal           | 9.32571315765   <-> 9.75329399109   || 0
nogal           | ver             | 6.36730575562   <-> 4.66055965424   || 1
ver             | van             | 1.46496534348   <-> 1.99029529095   || 0
van             | het             | 2.14517617226   <-> 2.17871141434   || 0
het             | <UNK>           | 1.75422859192   <-> 1.82509684563   || 0
<UNK>           | of              | 5.36715316772   <-> 5.52969741821   || 0
of              | <UNK>           | 2.57843589783   <-> 2.35166049004   || 1
<UNK>           | had             | 7.05408573151   <-> 8.08561229706   || 0
had             | zijn            | 4.7930226326    <-> 4.74965667725   || 1
zijn            | clubs           | 9.43263626099   <-> 9.70013046265   || 0
clubs           | weggegooid      | 10.8267679214   <-> 10.7415771484   || 1
weggegooid      | en              | 2.76964116096   <-> 3.17879891396   || 0
en              | zich            | 6.67315387726   <-> 7.01548671722   || 0
zich            | terstond        | 13.2455787659   <-> 12.2508478165   || 1
terstond        | weer            | 5.99062919617   <-> 5.9180688858    || 1
weer            | in              | 2.71032595634   <-> 2.79934883118   || 0
