input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
Amerikanen      | maar            | 4.25493764877   <-> 4.38834905624   || 0
maar            | </s>            | 5.78089809418   <-> 5.59004592896   || 1
<s>             | Europa          | 8.23277568817   <-> 7.80503749847   || 1
Europa          | is              | 2.31405997276   <-> 2.37350416183   || 0
is              | de              | 2.49013400078   <-> 2.4768705368    || 1
de              | kloof           | 6.55476570129   <-> 7.20145797729   || 0
kloof           | langzaam        | 11.025604248    <-> 12.4402141571   || 0
langzaam        | maar            | 3.81095600128   <-> 4.15050458908   || 0
maar            | zeker           | 6.43137788773   <-> 6.40272951126   || 1
zeker           | aan             | 4.94858074188   <-> 5.1722278595    || 0
aan             | het             | 2.07671070099   <-> 2.05163621902   || 1
het             | dichten         | 11.2099409103   <-> 9.89606666565   || 1
dichten         | </s>            | 1.23925876617   <-> 0.908730685711  || 1
<s>             | met             | 4.84860897064   <-> 4.74534273148   || 1
met             | een             | 1.98389542103   <-> 2.12968254089   || 0
een             | beetje          | 5.95875787735   <-> 6.28240871429   || 0
beetje          | geluk           | 7.8748755455    <-> 7.5811958313    || 1
geluk           | hebben          | 4.69779968262   <-> 5.16666698456   || 0
hebben          | we              | 1.58236217499   <-> 1.59579253197   || 0
we              | ze              | 5.63727521896   <-> 5.94174528122   || 0
ze              | in              | 3.40616178513   <-> 3.12791442871   || 1
in              | twee            | 4.60661268234   <-> 4.52904272079   || 1
twee            | duizend         | 0.54105079174   <-> 0.373722970486  || 1
duizend         | negen-en        | 7.93159627914   <-> 7.87400341034   || 1
negen-en        | twintig         | 1.52291762829   <-> 1.85862195492   || 0
twintig         | te              | 5.25222301483   <-> 4.2874712944    || 1
te              | pakken          | 5.85845565796   <-> 5.57782077789   || 1
pakken          | </s>            | 0.694107174873  <-> 0.427051603794  || 1
<s>             | op              | 4.19731664658   <-> 4.24189901352   || 0
op              | drie-en         | 6.32561969757   <-> 5.88646411896   || 1
drie-en         | twintig         | 0.533688485622  <-> 0.633189737797  || 0
twintig         | september       | 2.54884290695   <-> 2.20065283775   || 1
september       | beginnen        | 7.58824300766   <-> 8.63949775696   || 0
beginnen        | we              | 2.36427760124   <-> 2.18703174591   || 1
we              | eraan           | 7.19912385941   <-> 8.09974575043   || 0
eraan           | deze            | 8.29316234589   <-> 7.36368227005   || 1
deze            | keer            | 3.13333010674   <-> 4.68213176727   || 0
keer            | op              | 3.15335607529   <-> 3.25537037849   || 0
op              | The             | 9.33898830414   <-> 7.84842014313   || 1
The             | <UNK>           | 1.45937001705   <-> 0.748557209969  || 1
<UNK>           | Country         | 11.8760957718   <-> 9.50308990479   || 1
Country         | </s>            | 1.52824819088   <-> 1.40152776241   || 1
<s>             | club            | 7.88531684875   <-> 9.11818695068   || 0
club            | in              | 3.45579123497   <-> 3.9592757225    || 0
in              | de              | 1.54455208778   <-> 1.71144032478   || 0
de              | staat           | 7.05175018311   <-> 7.11487197876   || 0
staat           | Massachusetts   | 12.9432296753   <-> 11.4403018951   || 1
Massachusetts   | </s>            | 1.76423847675   <-> 2.09005975723   || 0
<s>             | <UNK>           | 3.04267835617   <-> 3.19378328323   || 0
<UNK>           | we              | 7.09382724762   <-> 7.07876491547   || 1
we              | de              | 3.95452833176   <-> 3.93673276901   || 1
de              | woorden         | 7.9264831543    <-> 8.61293411255   || 0
woorden         | van             | 1.6329267025    <-> 0.760771811008  || 1
van             | Ben             | 9.58270454407   <-> 8.78767108917   || 1
Ben             | <UNK>           | 1.54405641556   <-> 1.04473805428   || 1
<UNK>           | </s>            | 1.46196353436   <-> 1.58224332333   || 0
<s>             | ik              | 3.30787563324   <-> 3.90105581284   || 0
ik              | speel           | 6.33719873428   <-> 6.54465961456   || 0
speel           | soms            | 6.34093141556   <-> 6.84836959839   || 0
soms            | met             | 3.95888781548   <-> 3.50486636162   || 1
met             | vrienden        | 7.29033470154   <-> 7.68978595734   || 0
vrienden        | maar            | 3.93581199646   <-> 3.66680335999   || 1
maar            | nooit           | 6.61632633209   <-> 6.65828943253   || 0
nooit           | vriendschappelijk | 12.9559631348   <-> 12.7042713165   || 1
vriendschappelijk | </s>            | 1.46106934547   <-> 1.39243662357   || 1
<s>             | dat             | 3.53288578987   <-> 3.92911791801   || 0
dat             | is              | 1.65541160107   <-> 1.3904749155    || 1
is              | de              | 3.05001211166   <-> 2.73627877235   || 1
de              | enige           | 3.85522270203   <-> 3.11046648026   || 1
enige           | juiste          | 8.41250228882   <-> 8.59593391418   || 0
juiste          | attitude        | 9.80501461029   <-> 8.80054759979   || 1
attitude        | </s>            | 0.85851174593   <-> 0.81596237421   || 1
<s>             | golf            | 12.5627336502   <-> 11.4719085693   || 1
golf            | is              | 2.63012981415   <-> 3.18948745728   || 0
is              | niet            | 3.02168560028   <-> 3.04241728783   || 0
niet            | om              | 4.99482345581   <-> 5.87087249756   || 0
om              | te              | 2.91962242126   <-> 2.82954573631   || 1
te              | lachen          | 5.31541252136   <-> 5.67045879364   || 0
lachen          | </s>            | 0.549311876297  <-> 0.607524693012  || 0
<s>             | een             | 3.71859550476   <-> 3.57528424263   || 1
een             | wimpel          | 13.6722917557   <-> 14.4487743378   || 0
wimpel          | voor            | 3.35346531868   <-> 3.38125300407   || 0
voor            | Gent            | 8.6457862854    <-> 7.28247261047   || 1
Gent            | </s>            | 1.25493013859   <-> 1.65731871128   || 0
<s>             | kunst           | 9.24930667877   <-> 9.47185134888   || 0
kunst           | </s>            | 3.02283334732   <-> 2.38041329384   || 1
<s>             | Gent            | 8.66171360016   <-> 7.14235877991   || 1
Gent            | eist            | 8.15273666382   <-> 8.06316184998   || 1
eist            | almaar          | 9.97950077057   <-> 10.6273269653   || 0
almaar          | nadrukkelijker  | 7.88429784775   <-> 6.10709142685   || 1
nadrukkelijker  | de              | 2.72859454155   <-> 3.3163728714    || 0
de              | blauwe          | 8.69390392303   <-> 8.32452964783   || 1
blauwe          | wimpel          | 13.4757041931   <-> 12.1534328461   || 1
wimpel          | van             | 2.28332829475   <-> 2.38520884514   || 0
van             | nationale       | 8.92830944061   <-> 8.76129436493   || 1
nationale       | <UNK>           | 1.59974348545   <-> 2.19593191147   || 0
<UNK>           | op              | 3.91377425194   <-> 4.13645553589   || 0
op              | </s>            | 2.32995271683   <-> 2.22990846634   || 1
<s>             | met             | 4.61892843246   <-> 4.75461912155   || 0
met             | grote           | 6.17133998871   <-> 6.36400842667   || 0
grote           | regelmaat       | 8.46382236481   <-> 6.54370498657   || 1
regelmaat       | maakt           | 6.80630588531   <-> 6.54430294037   || 1
maakt           | de              | 1.67032253742   <-> 1.88077402115   || 0
de              | fine            | 11.8489580154   <-> 11.5092477798   || 1
fine            | fleur           | 11.0502376556   <-> 9.05448722839   || 1
fleur           | van             | 0.726891279221  <-> 0.970598220825  || 0
van             | de              | 1.14042508602   <-> 1.18687558174   || 0
de              | elektronische   | 8.63007736206   <-> 8.84984779358   || 0
elektronische   | muziek          | 5.57878494263   <-> 3.67451500893   || 1
muziek          | haar            | 6.1437625885    <-> 6.69037485123   || 0
haar            | opwachting      | 7.03854370117   <-> 6.05409479141   || 1
opwachting      | tijdens         | 7.03647947311   <-> 7.63048791885   || 0
tijdens         | </s>            | 3.79419231415   <-> 3.45982313156   || 1
<s>             | I               | 8.88599300385   <-> 8.56687736511   || 1
I               | love            | 6.39120674133   <-> 4.39556598663   || 1
love            | techno          | 9.47484397888   <-> 8.87011146545   || 1
techno          | de              | 4.91564750671   <-> 4.96450901031   || 0
de              | </s>            | 8.18733787537   <-> 7.92808532715   || 1
<s>             | ten             | 7.64994239807   <-> 8.05595874786   || 0
ten             | days            | 10.6127347946   <-> 10.7907590866   || 0
days            | of              | 5.32475852966   <-> 6.05120897293   || 0
of              | techno          | 9.30254364014   <-> 10.0046367645   || 0
techno          | </s>            | 1.89926028252   <-> 2.72493457794   || 0
<s>             | de              | 2.16382431984   <-> 2.19575738907   || 0
de              | snelle          | 8.40155792236   <-> 8.57168388367   || 0
snelle          | evoluties       | 9.84527683258   <-> 9.74513244629   || 1
evoluties       | in              | 2.7462348938    <-> 2.89543437958   || 0
in              | de              | 1.1714631319    <-> 1.2654914856    || 0
de              | wereld          | 4.90128040314   <-> 3.91549491882   || 1
wereld          | van             | 2.47594475746   <-> 2.48753428459   || 0
van             | <UNK>           | 1.9765150547    <-> 2.32219314575   || 0
<UNK>           | en              | 2.13506340981   <-> 2.25459909439   || 0
en              | beats           | 9.26160621643   <-> 9.93765640259   || 0
beats           | dwingen         | 11.2180233002   <-> 9.8505191803    || 1
dwingen         | </s>            | 4.33466291428   <-> 4.24651622772   || 1
<s>             | ten             | 7.54525470734   <-> 7.76846075058   || 0
ten             | days            | 10.5031204224   <-> 10.9701194763   || 0
days            | tot             | 6.51451063156   <-> 6.76951122284   || 0
tot             | een             | 2.36291861534   <-> 2.40598630905   || 0
een             | herschikking    | 11.7264194489   <-> 10.5710725784   || 1
herschikking    | </s>            | 2.9717874527    <-> 5.15908956528   || 0
<s>             | techno          | 10.2885913849   <-> 11.0225820541   || 0
techno          | is              | 3.31044626236   <-> 2.88227438927   || 1
is              | immers          | 6.55474758148   <-> 5.77000522614   || 1
immers          | niet            | 3.27716350555   <-> 3.02009010315   || 1
niet            | langer          | 4.71513271332   <-> 4.34036064148   || 1
langer          | afdoende        | 11.4950637817   <-> 11.0163726807   || 1
afdoende        | om              | 4.12248802185   <-> 4.05478239059   || 1
om              | de              | 1.89966857433   <-> 1.71702337265   || 1
de              | brede           | 8.36745452881   <-> 8.08125782013   || 1
brede           | waaier          | 8.09430217743   <-> 6.54252624512   || 1
waaier          | van             | 0.829958021641  <-> 0.774062395096  || 1
van             | stijlen         | 8.55528354645   <-> 8.01996517181   || 1
stijlen         | en              | 2.03038167953   <-> 1.83913397789   || 1
en              | <UNK>           | 2.02335166931   <-> 1.90849494934   || 1
<UNK>           | te              | 1.29019260406   <-> 1.57367706299   || 0
te              | dragen          | 5.10461711884   <-> 5.56446409225   || 0
dragen          | </s>            | 0.353598058224  <-> 0.417638897896  || 0
<s>             | daarom          | 6.22590351105   <-> 6.48375511169   || 0
daarom          | heet            | 6.87592029572   <-> 7.2741189003    || 0
heet            | het             | 2.02541685104   <-> 1.88897573948   || 1
het             | tiendaagse      | 13.1822490692   <-> 12.8065919876   || 1
tiendaagse      | festival        | 7.3399066925    <-> 5.33351993561   || 1
festival        | in              | 2.78015708923   <-> 2.65653514862   || 1
in              | de              | 1.36605167389   <-> 1.42167210579   || 0
de              | marge           | 7.68794536591   <-> 6.50389194489   || 1
marge           | van             | 0.468666493893  <-> 0.208158239722  || 1
van             | de              | 1.00219523907   <-> 1.03236293793   || 0
de              | Gentse          | 6.2143034935    <-> 7.07196521759   || 0
Gentse          | </s>            | 6.96444654465   <-> 8.94286346436   || 0
<s>             | feesten         | 11.5917205811   <-> 11.0305700302   || 1
feesten         | voortaan        | 9.88048171997   <-> 8.92948150635   || 1
voortaan        | </s>            | 3.23213505745   <-> 3.35194635391   || 0
<s>             | ten             | 7.60833454132   <-> 7.40160703659   || 1
ten             | days            | 10.696723938    <-> 11.4073829651   || 0
days            | off             | 10.5071926117   <-> 9.51076126099   || 1
off             | </s>            | 3.73931312561   <-> 4.82918453217   || 0
<s>             | de              | 2.2321138382    <-> 1.9257632494    || 1
de              | hoorn           | 9.80308818817   <-> 10.677233696    || 0
hoorn           | des             | 7.17675065994   <-> 6.13660573959   || 1
des             | <UNK>           | 1.28812861443   <-> 1.54137349129   || 0
<UNK>           | zorgt           | 7.68891954422   <-> 6.84001255035   || 1
zorgt           | er              | 4.02474403381   <-> 4.25154972076   || 0
er              | ook             | 3.29092168808   <-> 2.91472530365   || 1
ook             | voor            | 3.37933778763   <-> 2.20625472069   || 1
voor            | dat             | 3.75193595886   <-> 3.7584707737    || 0
dat             | een             | 3.03767585754   <-> 2.99513101578   || 1
een             | aantal          | 5.3279299736    <-> 5.36840105057   || 0
aantal          | avonden         | 8.69339179993   <-> 8.47920703888   || 1
avonden         | een             | 2.89647340775   <-> 2.97375631332   || 0
een             | specifiek       | 9.12524414062   <-> 8.26612377167   || 1
specifiek       | etiket          | 8.43370437622   <-> 9.1309967041    || 0
etiket          | krijgt          | 6.39284944534   <-> 5.9280796051    || 1
krijgt          | opgekleefd      | 13.0649442673   <-> 12.3469238281   || 1
opgekleefd      | </s>            | 0.981429457664  <-> 0.908055126667  || 1
<s>             | zo              | 5.0537109375    <-> 5.10493087769   || 0
zo              | zijn            | 3.38803362846   <-> 4.13634204865   || 0
zijn            | er              | 1.96477603912   <-> 1.65544724464   || 1
er              | <UNK>           | 3.67995429039   <-> 3.87332415581   || 0
<UNK>           | rond            | 6.86623096466   <-> 6.69949054718   || 1
rond            | de              | 1.43057966232   <-> 1.21772587299   || 1
de              | Britse          | 7.36020278931   <-> 6.86776828766   || 1
Britse          | DJ              | 8.9269733429    <-> 9.12948799133   || 0
DJ              | producer        | 9.3927936554    <-> 9.96456336975   || 0
producer        | Andrew          | 7.95253276825   <-> 7.20013237      || 1
Andrew          | <UNK>           | 1.34185922146   <-> 1.1159080267    || 1
<UNK>           | en              | 2.78676342964   <-> 2.38756799698   || 1
en              | het             | 3.34787940979   <-> 2.6702504158    || 1
het             | Planet          | 12.4315071106   <-> 13.7990894318   || 0
Planet          | <UNK>           | 1.41557645798   <-> 1.27584326267   || 1
<UNK>           | van             | 2.45298624039   <-> 2.26740455627   || 1
van             | <UNK>           | 1.91111683846   <-> 2.05847883224   || 0
<UNK>           | Carl            | 9.41298103333   <-> 9.36935806274   || 1
Carl            | Craig           | 9.07655715942   <-> 8.85076713562   || 1
Craig           | </s>            | 2.66170024872   <-> 1.51634919643   || 1
<s>             | de              | 1.93006515503   <-> 1.90660226345   || 1
de              | nieuwe          | 5.04132652283   <-> 4.55025577545   || 1
nieuwe          | Franse          | 6.63556957245   <-> 6.79934501648   || 0
Franse          | lichting        | 9.47232627869   <-> 8.96489143372   || 1
lichting        | komt            | 7.2183713913    <-> 7.23945617676   || 0
komt            | met             | 3.34148812294   <-> 3.81935667992   || 0
met             | een             | 1.65209627151   <-> 1.50409221649   || 1
een             | busje           | 10.111369133    <-> 9.95776939392   || 1
busje           | en              | 3.1855340004    <-> 2.64114928246   || 1
en              | schuift         | 10.3344488144   <-> 9.20288181305   || 1
schuift         | met             | 4.39025020599   <-> 3.8535900116    || 1
met             | de              | 1.73695957661   <-> 1.77532994747   || 0
de              | nodige          | 7.40931224823   <-> 5.77590370178   || 1
nodige          | fierheid        | 11.0954961777   <-> 10.3627815247   || 1
fierheid        | <UNK>           | 3.92081451416   <-> 4.22828245163   || 0
<UNK>           | naar            | 5.39989757538   <-> 4.89712285995   || 1
naar            | voren           | 6.2048664093    <-> 5.2791800499    || 1
voren           | </s>            | 0.886629343033  <-> 0.437975138426  || 1
<s>             | het             | 2.74325728416   <-> 2.65505719185   || 1
het             | trio            | 7.07755756378   <-> 6.98641300201   || 1
trio            | mengt           | 10.0714683533   <-> 9.4086933136    || 1
mengt           | elektro         | 12.9489173889   <-> 13.7525262833   || 0
elektro         | disco           | 11.3140716553   <-> 11.9637012482   || 0
disco           | house           | 9.86956310272   <-> 8.66940689087   || 1
house           | techno          | 9.66537094116   <-> 8.72218227386   || 1
techno          | en              | 1.66057550907   <-> 0.856162965298  || 1
en              | hiphop          | 7.52738857269   <-> 7.15754032135   || 1
hiphop          | en              | 1.91227781773   <-> 1.91225016117   || 1
en              | meldt           | 11.2941303253   <-> 10.5363864899   || 1
meldt           | zich            | 4.2892203331    <-> 5.18966531754   || 0
zich            | als             | 4.3462934494    <-> 5.10673666      || 0
als             | de              | 2.01067590714   <-> 1.93915987015   || 1
de              | opvolger        | 9.3393497467    <-> 7.77491283417   || 1
opvolger        | van             | 0.652035593987  <-> 0.722769260406  || 0
van             | Daft            | 11.2944364548   <-> 10.8253135681   || 1
Daft            | Punk            | 10.7769880295   <-> 8.12290763855   || 1
Punk            | en              | 2.48658370972   <-> 2.35933065414   || 1
en              | Cassius         | 11.9835634232   <-> 12.1803035736   || 0
Cassius         | </s>            | 2.54241275787   <-> 3.24490356445   || 0
<s>             | een             | 3.38843274117   <-> 3.27888679504   || 1
een             | andere          | 5.12948608398   <-> 4.80457258224   || 1
andere          | <UNK>           | 1.82792520523   <-> 1.9940520525    || 0
<UNK>           | is              | 2.82576918602   <-> 2.38738870621   || 1
is              | de              | 2.74805784225   <-> 2.43746328354   || 1
de              | markante        | 11.5626049042   <-> 11.759303093    || 0
markante        | Britse          | 7.68575954437   <-> 6.9702630043    || 1
Britse          | DJ              | 8.38958358765   <-> 7.70218515396   || 1
DJ              | <UNK>           | 1.49609649181   <-> 1.58807325363   || 0
<UNK>           | <UNK>           | 1.85281002522   <-> 1.71805906296   || 1
<UNK>           | </s>            | 1.69991397858   <-> 1.25482439995   || 1
<s>             | sinds           | 6.60194969177   <-> 6.38894128799   || 1
sinds           | het             | 2.42124986649   <-> 2.5167453289    || 0
het             | midden          | 5.63176345825   <-> 4.45732116699   || 1
midden          | van             | 0.276368886232  <-> 0.364362627268  || 0
van             | de              | 0.997200965881  <-> 0.93682384491   || 1
de              | jaren           | 3.69058036804   <-> 2.42315721512   || 1
jaren           | zeventig        | 2.28923678398   <-> 1.65965163708   || 1
zeventig        | is              | 2.6406929493    <-> 2.72944402695   || 0
is              | de              | 1.65101516247   <-> 1.42744970322   || 1
de              | voormalige      | 7.61112689972   <-> 6.67767429352   || 1
voormalige      | Schotse         | 9.03543758392   <-> 8.99448299408   || 1
Schotse         | <UNK>           | 1.09634590149   <-> 1.86900353432   || 0
<UNK>           | op              | 4.30010223389   <-> 4.62867498398   || 0
op              | zoek            | 4.05105304718   <-> 3.20737028122   || 1
zoek            | naar            | 0.558078169823  <-> 0.255047410727  || 1
naar            | sterke          | 9.7142534256    <-> 8.57405281067   || 1
sterke          | maar            | 8.72613143921   <-> 8.85315322876   || 0
maar            | <UNK>           | 3.06208825111   <-> 2.10705518723   || 1
<UNK>           | funk            | 9.66589927673   <-> 9.83999443054   || 0
funk            | en              | 2.14585232735   <-> 1.81154441833   || 1
en              | <UNK>           | 1.62777543068   <-> 1.55300986767   || 1
<UNK>           | </s>            | 1.27384376526   <-> 1.15040588379   || 1
<s>             | door            | 5.73524713516   <-> 5.79183244705   || 0
door            | de              | 1.26953136921   <-> 1.08273148537   || 1
de              | zaak            | 7.71196269989   <-> 8.10158729553   || 0
zaak            | exclusief       | 11.7863540649   <-> 10.7642698288   || 1
exclusief       | te              | 4.78653812408   <-> 4.22421264648   || 1
te              | houden          | 5.19065237045   <-> 5.15107250214   || 1
houden          | heeft           | 3.71664357185   <-> 3.71333479881   || 1
heeft           | hij             | 2.14580726624   <-> 1.8970477581    || 1
hij             | in              | 3.4418592453    <-> 3.28010320663   || 1
in              | eigen           | 5.85366916656   <-> 6.24191904068   || 0
eigen           | land            | 3.90593743324   <-> 2.21253180504   || 1
land            | een             | 1.89662408829   <-> 2.09389734268   || 0
een             | fanatiek        | 10.8602371216   <-> 10.9083576202   || 0
fanatiek        | publiek         | 5.48698043823   <-> 5.71637248993   || 0
publiek         | opgebouwd       | 5.97544670105   <-> 5.37729215622   || 1
opgebouwd       | </s>            | 1.00631725788   <-> 0.756672918797  || 1
<s>             | sinds           | 6.73298883438   <-> 6.23535442352   || 1
sinds           | enkele          | 5.98626899719   <-> 5.56052923203   || 1
enkele          | jaren           | 0.991113781929  <-> 0.49579423666   || 1
jaren           | brengt          | 7.16868972778   <-> 7.19348049164   || 0
brengt          | hij             | 2.19658946991   <-> 1.72038340569   || 1
hij             | zijn            | 4.53504323959   <-> 3.95514011383   || 1
zijn            | schatten        | 11.1028738022   <-> 12.165977478    || 0
schatten        | uit             | 3.92105221748   <-> 3.70557594299   || 1
uit             | op              | 4.58457994461   <-> 4.17538261414   || 1
op              | de              | 1.343272686     <-> 1.3743956089    || 0
de              | <UNK>           | 1.82418978214   <-> 2.07754182816   || 0
<UNK>           | </s>            | 1.37742400169   <-> 1.84730744362   || 0
<s>             | <UNK>           | 2.90319156647   <-> 2.86936354637   || 1
<UNK>           | deep            | 11.7979507446   <-> 11.8183259964   || 0
deep            | funk            | 9.03681373596   <-> 8.88659477234   || 1
funk            | en              | 2.5325088501    <-> 2.14978718758   || 1
en              | wisselt         | 12.3073968887   <-> 12.1657247543   || 1
wisselt         | hij             | 5.55945062637   <-> 3.43802905083   || 1
hij             | druk            | 10.4773387909   <-> 9.36352062225   || 1
druk            | plaatjes        | 13.6606998444   <-> 13.5710268021   || 1
plaatjes        | met             | 2.7019572258    <-> 3.46565675735   || 0
met             | DJ              | 8.81758880615   <-> 10.2897968292   || 0
DJ              | Shadow          | 10.7859716415   <-> 10.6423053741   || 1
Shadow          | </s>            | 1.60854578018   <-> 1.57462406158   || 1
<s>             | opmerkelijk     | 8.8634929657    <-> 8.21855354309   || 1
opmerkelijk     | is              | 1.73115408421   <-> 1.39412140846   || 1
is              | het             | 2.77420639992   <-> 2.36691474915   || 1
het             | zware           | 9.46307659149   <-> 9.19136428833   || 1
zware           | accent          | 7.48690605164   <-> 7.81926202774   || 0
accent          | dat             | 3.82050037384   <-> 2.71394085884   || 1
dat             | gelegd          | 14.3861255646   <-> 14.5334005356   || 0
gelegd          | wordt           | 2.90095376968   <-> 2.53743886948   || 1
wordt           | op              | 2.88167095184   <-> 3.31210374832   || 0
op              | drum'n'bass     | 11.6597585678   <-> 11.7556505203   || 0
drum'n'bass     | </s>            | 1.07568025589   <-> 1.23162341118   || 0
<s>             | de              | 1.96400415897   <-> 2.0205886364    || 0
de              | snelle          | 8.33245277405   <-> 8.27032661438   || 1
snelle          | en              | 5.29965782166   <-> 6.05303859711   || 0
en              | technisch       | 9.37997817993   <-> 8.09065818787   || 1
technisch       | behoorlijk      | 10.6847667694   <-> 11.269903183    || 0
behoorlijk      | ingenieuze      | 10.3194904327   <-> 9.99561786652   || 1
ingenieuze      | <UNK>           | 1.50215816498   <-> 2.21298909187   || 0
<UNK>           | was             | 4.26289463043   <-> 4.661049366     || 0
was             | immers          | 6.20009422302   <-> 6.4204955101    || 0
immers          | al              | 4.16262102127   <-> 3.88428092003   || 1
al              | opgegeven       | 11.0330963135   <-> 10.2894563675   || 1
opgegeven       | </s>            | 0.826590061188  <-> 0.644755899906  || 1
<s>             | de              | 1.9009950161    <-> 2.0325922966    || 0
de              | mislukte        | 10.4521627426   <-> 9.69200229645   || 1
mislukte        | poging          | 7.86231327057   <-> 6.94570684433   || 1
poging          | om              | 2.0611140728    <-> 1.66680955887   || 1
om              | het             | 2.56290197372   <-> 2.6891784668    || 0
het             | brede           | 8.19889068604   <-> 8.29800415039   || 0
brede           | publiek         | 3.8225839138    <-> 3.43803358078   || 1
publiek         | te              | 1.31620025635   <-> 1.40203046799   || 0
te              | bereiken        | 5.30295848846   <-> 4.15577602386   || 1
bereiken        | is              | 1.96280145645   <-> 2.14886879921   || 0
is              | echter          | 6.15384483337   <-> 5.0574131012    || 1
echter          | een             | 2.24948310852   <-> 2.68022060394   || 0
een             | creatieve       | 8.48714256287   <-> 8.93690013885   || 0
creatieve       | zegen           | 9.59979248047   <-> 8.40434837341   || 1
zegen           | gebleken        | 10.4162683487   <-> 9.0798034668    || 1
gebleken        | </s>            | 1.01834952831   <-> 0.58831256628   || 1
<s>             | in              | 3.24750971794   <-> 3.3638780117    || 0
in              | de              | 1.16724169254   <-> 1.19288039207   || 0
de              | ondergrond      | 9.10401725769   <-> 9.23746299744   || 0
ondergrond      | <UNK>           | 3.73309803009   <-> 4.13566589355   || 0
<UNK>           | en              | 4.28903150558   <-> 3.73649287224   || 1
en              | <UNK>           | 2.24269151688   <-> 2.1342856884    || 1
<UNK>           | het             | 4.35324764252   <-> 4.90680217743   || 0
het             | als             | 6.47187614441   <-> 6.91843223572   || 0
als             | nooit           | 7.29670524597   <-> 8.18590927124   || 0
nooit           | tevoren         | 8.6166229248    <-> 9.33032131195   || 0
tevoren         | en              | 3.89541101456   <-> 3.61686372757   || 1
en              | wordt           | 6.1343960762    <-> 6.40636730194   || 0
wordt           | een             | 2.73327088356   <-> 2.61302113533   || 1
een             | nieuwe          | 4.73445415497   <-> 3.97424077988   || 1
nieuwe          | sprong          | 9.40028476715   <-> 8.57478523254   || 1
sprong          | voorwaarts      | 7.90311765671   <-> 5.91602516174   || 1
voorwaarts      | voorbereid      | 8.70467853546   <-> 7.65056228638   || 1
voorbereid      | </s>            | 0.693974733353  <-> 0.433866530657  || 1
<s>             | ten             | 7.35170936584   <-> 7.39886903763   || 0
ten             | days            | 11.1419687271   <-> 11.1823654175   || 0
days            | off             | 10.9951477051   <-> 9.58992576599   || 1
off             | gaat            | 6.56465244293   <-> 6.11707305908   || 1
gaat            | evenveel        | 9.77502155304   <-> 10.1209793091   || 0
evenveel        | naar            | 4.56360816956   <-> 4.48055839539   || 1
naar            | toen            | 8.89482784271   <-> 8.64752674103   || 1
toen            | als             | 5.83646392822   <-> 5.42486095428   || 1
als             | naar            | 8.34681987762   <-> 6.94624900818   || 1
naar            | straks          | 11.5806722641   <-> 10.8903427124   || 1
straks          | </s>            | 4.22463798523   <-> 4.36344480515   || 0
<s>             | hoewel          | 7.0067987442    <-> 6.83320617676   || 1
hoewel          | de              | 1.80626237392   <-> 1.62400972843   || 1
de              | elektronica     | 9.8646364212    <-> 9.92233371735   || 0
elektronica     | wordt           | 4.8603849411    <-> 4.87662792206   || 0
wordt           | voorgesteld     | 6.18542385101   <-> 5.39417791367   || 1
voorgesteld     | als             | 4.52485466003   <-> 3.53936362267   || 1
als             | een             | 2.53906965256   <-> 2.32855367661   || 1
een             | snoepje         | 10.1656341553   <-> 9.84020042419   || 1
snoepje         | van             | 2.21884965897   <-> 2.77362585068   || 0
van             | hier            | 8.0804233551    <-> 9.05930423737   || 0
hier            | en              | 3.4150352478    <-> 3.14513444901   || 1
en              | nu              | 5.9785118103    <-> 5.19580793381   || 1
nu              | heeft           | 5.45593833923   <-> 4.61022949219   || 1
heeft           | ze              | 2.68023538589   <-> 3.26301193237   || 0
ze              | een             | 2.08176827431   <-> 2.09712290764   || 0
een             | lange           | 6.29585599899   <-> 5.55043125153   || 1
lange           | geschiedenis    | 7.05782556534   <-> 6.517121315     || 1
geschiedenis    | </s>            | 2.24586296082   <-> 1.98865699768   || 1
<s>             | de              | 2.02287578583   <-> 1.95554113388   || 1
de              | grote           | 5.2920665741    <-> 5.41444540024   || 0
grote           | aandacht        | 7.00022506714   <-> 7.45145320892   || 0
aandacht        | zorgt           | 6.92231321335   <-> 7.91923952103   || 0
zorgt           | ervoor          | 3.67337226868   <-> 2.63497591019   || 1
ervoor          | dat             | 0.691851437092  <-> 0.678432166576  || 1
dat             | de              | 1.58858704567   <-> 1.55505478382   || 1
de              | pioniers        | 9.93881797791   <-> 10.1633214951   || 0
pioniers        | mogen           | 9.09708499908   <-> 8.82674407959   || 1
mogen           | en              | 5.54281139374   <-> 5.27919864655   || 1
en              | durven          | 8.79360198975   <-> 8.52109241486   || 1
durven          | buitenkomen     | 12.6088399887   <-> 12.0867481232   || 1
buitenkomen     | </s>            | 1.14053273201   <-> 1.01162803173   || 1
<s>             | zo              | 5.00561475754   <-> 4.99922895432   || 1
zo              | maakt           | 6.03301620483   <-> 5.48860454559   || 1
maakt           | de              | 1.6327958107    <-> 1.58928918839   || 1
de              | Amerikaanse     | 5.87919712067   <-> 5.55760955811   || 1
Amerikaanse     | oud-strijder    | 12.5375270844   <-> 11.6220426559   || 1
oud-strijder    | François       | 9.03675174713   <-> 7.83766555786   || 1
François       | </s>            | 5.34482288361   <-> 5.34902000427   || 0
<s>             | <UNK>           | 3.11381959915   <-> 3.07169771194   || 1
<UNK>           | zijn            | 4.22391986847   <-> 4.56020450592   || 0
