input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
tweede          | en              | 4.67733097076   <-> 4.79702758789   || 0
en              | tenslotte       | 9.97812747955   <-> 10.4005527496   || 0
tenslotte       | tegen           | 6.05543708801   <-> 5.49866008759   || 1
tegen           | zijn            | 3.7059879303    <-> 3.63398075104   || 1
zijn            | derde           | 5.71047115326   <-> 4.94770240784   || 1
derde           | echtgenote      | 8.17207527161   <-> 7.66542625427   || 1
echtgenote      | volgde          | 9.13823795319   <-> 9.60172271729   || 0
volgde          | een             | 3.28590488434   <-> 3.25979471207   || 1
een             | <UNK>           | 1.66836202145   <-> 2.06645107269   || 0
<UNK>           | in              | 2.78159093857   <-> 2.69574260712   || 1
in              | de              | 1.26181769371   <-> 1.29296851158   || 0
de              | Betty           | 13.7986850739   <-> 14.5391740799   || 0
Betty           | Ford            | 9.18842029572   <-> 9.1511220932    || 1
Ford            | kliniek         | 14.2404327393   <-> 14.4230518341   || 0
kliniek         | zwoer           | 12.6362514496   <-> 13.0911426544   || 0
zwoer           | de              | 1.95614600182   <-> 1.92934882641   || 1
de              | drank           | 10.0463199615   <-> 10.9613819122   || 0
drank           | af              | 5.50553941727   <-> 4.40583610535   || 1
af              | won             | 12.4997138977   <-> 11.2361373901   || 1
won             | de              | 1.96322226524   <-> 2.75182914734   || 0
de              | British         | 11.0173015594   <-> 11.3783740997   || 0
British         | Open            | 5.05687904358   <-> 1.66692233086   || 1
Open            | op              | 4.21776580811   <-> 4.70869684219   || 0
op              | de              | 1.32084321976   <-> 1.56808769703   || 0
de              | heilige         | 9.4435634613    <-> 9.68285560608   || 0
heilige         | Old             | 8.55185699463   <-> 7.98268270493   || 1
Old             | <UNK>           | 1.30413377285   <-> 1.57790827751   || 0
<UNK>           | van             | 2.95345568657   <-> 3.19663453102   || 0
van             | Saint           | 9.50473403931   <-> 10.1614170074   || 0
Saint           | Andrews         | 11.1828727722   <-> 10.8854055405   || 1
Andrews         | raakte          | 10.3267946243   <-> 8.96071147919   || 1
raakte          | weer            | 6.5144405365    <-> 6.5385761261    || 0
weer            | aan             | 4.21781253815   <-> 4.11093997955   || 1
aan             | de              | 1.22191214561   <-> 0.90514343977   || 1
de              | drank           | 8.86362838745   <-> 9.95524597168   || 0
drank           | gaf             | 9.90544223785   <-> 9.31485176086   || 1
gaf             | zijn            | 4.4671163559    <-> 4.37826824188   || 1
zijn            | tweede          | 6.19129753113   <-> 4.66177511215   || 1
tweede          | vrouw           | 5.22568368912   <-> 5.96061706543   || 0
vrouw           | een             | 2.97487926483   <-> 3.36381101608   || 0
een             | ongelukkige     | 8.80591583252   <-> 8.54402923584   || 1
ongelukkige     | slag            | 8.60894107819   <-> 7.35493469238   || 1
slag            | enzovoort       | 11.2220993042   <-> 12.164141655    || 0
enzovoort       | enzovoort       | 10.127248764    <-> 11.6343870163   || 0
enzovoort       | </s>            | 0.364114016294  <-> 0.488513231277  || 0
<s>             | dat             | 3.93316459656   <-> 4.28673315048   || 0
dat             | alles           | 6.72454690933   <-> 6.6667766571    || 1
alles           | was             | 2.93165683746   <-> 3.35317516327   || 0
was             | niets           | 6.38196754456   <-> 6.87439393997   || 0
niets           | vergeleken      | 9.40042877197   <-> 8.65506744385   || 1
vergeleken      | bij             | 4.97649812698   <-> 5.12697696686   || 0
bij             | wat             | 5.69116830826   <-> 5.8465924263    || 0
wat             | hem             | 5.43834686279   <-> 4.93050670624   || 1
hem             | overkwam        | 9.56339454651   <-> 8.43771457672   || 1
overkwam        | in              | 3.53434228897   <-> 3.86834931374   || 0
in              | de              | 1.16538345814   <-> 1.06408822536   || 1
de              | slotronde       | 10.0113286972   <-> 8.37312889099   || 1
slotronde       | van             | 2.22256088257   <-> 1.9850757122    || 1
van             | de              | 1.11715316772   <-> 1.12363898754   || 0
de              | US              | 8.23571109772   <-> 5.7334394455    || 1
US              | Open            | 1.21889269352   <-> 0.127115353942  || 1
Open            | op              | 4.8092918396    <-> 5.22402477264   || 0
op              | de              | 1.14171409607   <-> 1.1918566227    || 0
de              | achtste         | 6.90938949585   <-> 6.30537796021   || 1
achtste         | hole            | 12.1457967758   <-> 10.7869653702   || 1
hole            | van             | 2.66953420639   <-> 2.61166286469   || 1
van             | <UNK>           | 2.71080684662   <-> 2.8269033432    || 0
<UNK>           | </s>            | 0.826415419579  <-> 0.790158331394  || 1
<s>             | voor            | 4.61495113373   <-> 4.72162151337   || 0
voor            | </s>            | 8.17169380188   <-> 7.5600194931    || 1
<s>             | <UNK>           | 3.16845321655   <-> 3.06860470772   || 1
<UNK>           | meteen          | 8.8640460968    <-> 9.15754890442   || 0
meteen          | omgedoopt       | 10.870303154    <-> 11.2345218658   || 0
omgedoopt       | tot             | 1.80500996113   <-> 0.734482526779  || 1
tot             | <UNK>           | 2.41265249252   <-> 2.83297848701   || 0
<UNK>           | </s>            | 1.1451536417    <-> 1.15272319317   || 0
<s>             | gelukkig        | 8.3150510788    <-> 7.03070068359   || 1
gelukkig        | ligt            | 5.86955881119   <-> 6.2265253067    || 0
ligt            | die             | 5.63377094269   <-> 5.44180774689   || 1
die             | achtste         | 8.70793628693   <-> 7.60400676727   || 1
achtste         | nogal           | 9.32571315765   <-> 11.5696697235   || 0
nogal           | ver             | 6.36730575562   <-> 5.10779809952   || 1
ver             | van             | 1.46496534348   <-> 1.87572550774   || 0
van             | het             | 2.14517617226   <-> 2.33277916908   || 0
het             | <UNK>           | 1.75422859192   <-> 1.92732620239   || 0
<UNK>           | of              | 5.36715316772   <-> 5.39085197449   || 0
of              | <UNK>           | 2.57843589783   <-> 2.79393625259   || 0
<UNK>           | had             | 7.05408573151   <-> 7.16263723373   || 0
had             | zijn            | 4.7930226326    <-> 4.25628089905   || 1
zijn            | clubs           | 9.43263626099   <-> 10.3805046082   || 0
clubs           | weggegooid      | 10.8267679214   <-> 10.6546230316   || 1
