input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
in              | negentien       | 3.1465344429    <-> 2.95084738731   || 1
negentien       | honderd         | 0.00471325870603 <-> 0.00433505326509 || 1
honderd         | één-en        | 2.65647983551   <-> 2.86764335632   || 0
één-en        | negentig        | 0.808912873268  <-> 0.517077922821  || 1
negentig        | door            | 4.66422748566   <-> 4.82169914246   || 0
door            | de              | 1.00137519836   <-> 1.06028044224   || 0
de              | vele            | 6.95362472534   <-> 7.54593849182   || 0
vele            | forfaits        | 12.2425270081   <-> 11.336605072    || 1
forfaits        | per             | 7.75009584427   <-> 6.49879550934   || 1
per             | ongeluk         | 4.01629829407   <-> 3.56899309158   || 1
ongeluk         | in              | 3.00948429108   <-> 2.78688049316   || 1
in              | de              | 1.21145796776   <-> 1.27776288986   || 0
de              | <UNK>           | 2.12212014198   <-> 2.47583818436   || 0
<UNK>           | van             | 2.25831747055   <-> 2.11726951599   || 1
van             | de              | 1.23939323425   <-> 1.21452236176   || 1
de              | US              | 8.811170578     <-> 7.36104631424   || 1
US              | <UNK>           | 1.28341126442   <-> 2.44869828224   || 0
<UNK>           | op              | 4.166410923     <-> 4.29967403412   || 0
op              | <UNK>           | 3.23656821251   <-> 3.17727947235   || 1
<UNK>           | <UNK>           | 2.5793492794    <-> 3.08588171005   || 0
<UNK>           | geraakte        | 9.06100082397   <-> 8.45747375488   || 1
geraakte        | </s>            | 1.59705710411   <-> 2.1545290947    || 0
<s>             | <UNK>           | 2.98750209808   <-> 3.21614193916   || 0
<UNK>           | pas             | 8.30111885071   <-> 8.78349876404   || 0
pas             | in              | 2.33120632172   <-> 2.52309894562   || 0
in              | extremis        | 7.9770565033    <-> 8.61796188354   || 0
extremis        | opgeroepen      | 9.99767971039   <-> 10.4732627869   || 0
opgeroepen      | kwam            | 6.5651845932    <-> 8.5316028595    || 0
kwam            | net             | 6.52613830566   <-> 6.75736379623   || 0
net             | op              | 2.52819466591   <-> 3.19621372223   || 0
op              | tijd            | 7.07155561447   <-> 6.29536724091   || 1
tijd            | in              | 2.89063835144   <-> 2.71043586731   || 1
in              | Indianapolis    | 10.9749126434   <-> 10.1211214066   || 1
Indianapolis    | aan             | 4.63364362717   <-> 4.77380609512   || 0
aan             | om              | 5.00861930847   <-> 5.84540510178   || 0
om              | van             | 4.81144142151   <-> 5.01247310638   || 0
van             | start           | 7.73232841492   <-> 7.02369213104   || 1
start           | te              | 1.21012234688   <-> 1.95535063744   || 0
te              | kunnen          | 4.23660326004   <-> 4.43111801147   || 0
kunnen          | gaan            | 3.27577137947   <-> 2.87855195999   || 1
gaan            | in              | 3.48349571228   <-> 3.55325984955   || 0
in              | de              | 1.08161389828   <-> 1.07863903046   || 1
de              | eerste          | 3.63365507126   <-> 3.75807833672   || 0
eerste          | ronde           | 2.0380449295    <-> 1.59650063515   || 1
ronde           | moest           | 7.87506484985   <-> 8.99151515961   || 0
moest           | clubs           | 11.173582077    <-> 10.3195161819   || 1
clubs           | en              | 3.57759046555   <-> 3.49560260773   || 1
en              | een             | 3.32021450996   <-> 3.80970788002   || 0
een             | <UNK>           | 1.81664872169   <-> 2.17977356911   || 0
<UNK>           | lenen           | 10.0421724319   <-> 9.48886585236   || 1
lenen           | en              | 3.29951810837   <-> 3.29952764511   || 0
en              | won             | 8.3104391098    <-> 7.42867279053   || 1
won             | tot             | 5.42410469055   <-> 5.59920358658   || 0
tot             | <UNK>           | 3.653870821     <-> 4.0307559967    || 0
<UNK>           | verbijstering   | 12.3745756149   <-> 12.4324884415   || 0
verbijstering   | het             | 5.35148048401   <-> 5.44341135025   || 0
het             | toernooi        | 8.32333660126   <-> 8.00496292114   || 1
toernooi        | </s>            | 2.06363463402   <-> 1.5665115118    || 1
<s>             | John            | 8.01948833466   <-> 8.16902732849   || 0
John            | wie             | 11.9327535629   <-> 10.6345119476   || 1
wie             | zonder          | 6.89409351349   <-> 7.31903266907   || 0
zonder          | zonde           | 10.3248262405   <-> 10.6431217194   || 0
zonde           | is              | 2.31973433495   <-> 2.02714681625   || 1
is              | <UNK>           | 4.15378665924   <-> 3.91907930374   || 1
<UNK>           | de              | 2.2889418602    <-> 3.42744708061   || 0
de              | eerste          | 4.06603574753   <-> 4.46482229233   || 0
eerste          | steen           | 7.08846569061   <-> 6.90571784973   || 1
steen           | raakte          | 10.0694179535   <-> 9.35681343079   || 1
raakte          | daarna          | 7.06137180328   <-> 7.2703666687    || 0
daarna          | aan             | 4.64073753357   <-> 4.49665546417   || 1
aan             | de              | 1.07216823101   <-> 1.06444764137   || 1
de              | drank           | 9.27115440369   <-> 8.71024894714   || 1
drank           | </s>            | 1.19046187401   <-> 0.984813570976  || 1
<s>             | hij             | 3.12394285202   <-> 3.92822575569   || 0
hij             | stelde          | 5.96304798126   <-> 6.23049354553   || 0
stelde          | zich            | 3.00938987732   <-> 3.37812137604   || 0
zich            | gewelddadig     | 12.1632995605   <-> 12.3340454102   || 0
gewelddadig     | op              | 2.47248649597   <-> 2.24059295654   || 1
op              | tegen           | 5.56444787979   <-> 4.94439268112   || 1
tegen           | zijn            | 3.49560642242   <-> 3.78206443787   || 0
zijn            | eerste          | 4.28866004944   <-> 4.58259677887   || 0
