input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
kreten          | <UNK>           | 3.52784109116   <-> 4.03866004944   || 0
<UNK>           | noemen          | 7.76426458359   <-> 8.55964660645   || 0
noemen          | antropologen    | 13.7992267609   <-> 13.6475896835   || 1
antropologen    | een             | 3.59036946297   <-> 3.92637085915   || 0
een             | primitieve      | 9.77750301361   <-> 9.67071437836   || 1
primitieve      | vorm            | 5.70773506165   <-> 5.49597930908   || 1
vorm            | van             | 0.862065374851  <-> 0.750008046627  || 1
van             | <UNK>           | 2.49921369553   <-> 2.02199172974   || 1
<UNK>           | </s>            | 1.47271645069   <-> 1.53758537769   || 0
<s>             | als             | 4.08996009827   <-> 4.43155956268   || 0
als             | moderne         | 9.14423561096   <-> 10.2583742142   || 0
moderne         | mensen          | 4.35813617706   <-> 4.54278755188   || 0
mensen          | hetzelfde       | 8.55936527252   <-> 8.23224449158   || 1
hetzelfde       | doen            | 4.88810825348   <-> 4.7781791687    || 1
doen            | noemt           | 8.73969841003   <-> 8.28828048706   || 1
noemt           | men             | 4.07731437683   <-> 3.99920988083   || 1
men             | dat             | 3.33757686615   <-> 3.6601293087    || 0
dat             | golf            | 12.5795154572   <-> 12.5268888474   || 1
golf            | </s>            | 2.36849308014   <-> 2.43254995346   || 0
<s>             | de              | 2.15487027168   <-> 1.98693776131   || 1
de              | Amerikaanse     | 5.84762811661   <-> 5.23018789291   || 1
Amerikaanse     | komiek          | 8.41164779663   <-> 8.43679141998   || 0
komiek          | Bob             | 7.14158201218   <-> 6.8034362793    || 1
Bob             | Hope            | 9.83810520172   <-> 8.68241596222   || 1
Hope            | was             | 3.48914384842   <-> 3.39231967926   || 1
was             | in              | 3.02946305275   <-> 3.01674294472   || 1
in              | de              | 1.26057064533   <-> 1.37472879887   || 0
de              | combinatie      | 8.16086578369   <-> 8.11280155182   || 1
combinatie      | <UNK>           | 5.87792158127   <-> 4.65425014496   || 1
<UNK>           | de              | 3.09015607834   <-> 3.6212849617    || 0
de              | primus          | 11.926659584    <-> 10.5960702896   || 1
primus          | <UNK>           | 2.29204702377   <-> 2.96340966225   || 0
<UNK>           | <UNK>           | 2.39310717583   <-> 2.02087306976   || 1
<UNK>           | </s>            | 1.90122294426   <-> 1.54774391651   || 1
<s>             | las             | 11.3119020462   <-> 11.2338380814   || 1
las             | bij             | 6.14526939392   <-> 6.2140712738    || 0
bij             | het             | 2.32770442963   <-> 2.34040141106   || 0
het             | begin           | 4.34753036499   <-> 4.43709468842   || 0
begin           | van             | 0.334728807211  <-> 0.407550364733  || 0
van             | zijn            | 3.74763560295   <-> 3.27517747879   || 1
zijn            | eigen           | 4.22216796875   <-> 3.89221835136   || 1
eigen           | beruchte        | 9.76303386688   <-> 9.69436645508   || 1
beruchte        | <UNK>           | 1.40739703178   <-> 1.4356739521    || 0
<UNK>           | altijd          | 8.32007980347   <-> 8.70476150513   || 0
altijd          | zelf            | 6.85432434082   <-> 6.68530702591   || 1
zelf            | de              | 3.28845691681   <-> 3.34509325027   || 0
de              | <UNK>           | 1.90141201019   <-> 1.96097505093   || 0
<UNK>           | voor            | 4.13579511642   <-> 4.0900645256    || 1
voor            | en              | 5.28246736526   <-> 4.88860177994   || 1
en              | vermeldde       | 12.6415147781   <-> 12.4326848984   || 1
vermeldde       | dan             | 5.60217094421   <-> 5.59441375732   || 1
dan             | bij             | 5.0898194313    <-> 5.0357875824    || 1
bij             | elke            | 6.38840293884   <-> 6.09862613678   || 1
elke            | speler          | 8.94137954712   <-> 7.68785190582   || 1
speler          | zijn            | 5.64891147614   <-> 4.61079502106   || 1
zijn            | handicap        | 10.1787528992   <-> 10.1614665985   || 1
handicap        | </s>            | 1.3907212019    <-> 1.34573161602   || 1
<s>             | dat             | 3.68278241158   <-> 3.79571175575   || 0
dat             | ging            | 6.14498710632   <-> 5.94844007492   || 1
ging            | als             | 4.83711385727   <-> 5.22190189362   || 0
als             | volgt           | 9.04355430603   <-> 8.53476715088   || 1
volgt           | </s>            | 2.72974586487   <-> 2.2434720993    || 1
<s>             | Jack            | 9.62973880768   <-> 9.96278572083   || 0
Jack            | Lemon           | 11.9666471481   <-> 12.1060781479   || 0
Lemon           | zeven-en        | 8.20586395264   <-> 5.88858318329   || 1
zeven-en        | twintig         | 0.943044900894  <-> 1.08818101883   || 0
twintig         | </s>            | 2.61512875557   <-> 1.10093295574   || 1
<s>             | Gerald          | 10.7384300232   <-> 11.8241262436   || 0
Gerald          | Ford            | 8.06651973724   <-> 7.50071525574   || 1
Ford            | president       | 11.1945838928   <-> 9.56260490417   || 1
president       | van             | 4.31797218323   <-> 1.94558477402   || 1
van             | de              | 2.00819063187   <-> 1.91179561615   || 1
de              | </s>            | 8.91823101044   <-> 10.1075706482   || 0
<s>             | Verenigde       | 8.7868309021    <-> 10.6761550903   || 0
Verenigde       | Staten          | 0.26098972559   <-> 0.155004814267  || 1
Staten          | </s>            | 0.892742395401  <-> 4.23351335526   || 0
<s>             | Sammy           | 11.4282140732   <-> 11.9480257034   || 0
Sammy           | Davis           | 7.92102527618   <-> 7.63677215576   || 1
Davis           | junior          | 8.46726703644   <-> 8.26523780823   || 1
junior          | zwart           | 11.1348791122   <-> 11.9321737289   || 0
zwart           | en              | 2.70156502724   <-> 2.39398193359   || 1
en              | één           | 6.27406597137   <-> 6.05232906342   || 1
één           | oog             | 10.0010852814   <-> 9.29043102264   || 1
oog             | </s>            | 1.33270013332   <-> 1.26179742813   || 1
<s>             | Jack            | 9.77440643311   <-> 9.96278572083   || 0
Jack            | Lemon           | 11.8883047104   <-> 12.1060781479   || 0
Lemon           | was             | 4.62105083466   <-> 4.21485900879   || 1
was             | op              | 3.72769999504   <-> 4.29561424255   || 0
op              | die             | 5.46265029907   <-> 4.68200874329   || 1
die             | <UNK>           | 2.62040829659   <-> 4.02331924438   || 0
<UNK>           | altijd          | 6.72381162643   <-> 6.63808393478   || 1
altijd          | een             | 2.3232717514    <-> 2.42914915085   || 0
een             | attractie       | 9.57825279236   <-> 9.50148391724   || 1
attractie       | op              | 3.39856410027   <-> 3.57187533379   || 0
op              | zich            | 5.73414325714   <-> 6.38336753845   || 0
zich            | </s>            | 1.45022749901   <-> 2.11548304558   || 0
<s>             | <UNK>           | 2.9082698822    <-> 3.21614193916   || 0
<UNK>           | Phil            | 10.2384204865   <-> 10.3136310577   || 0
Phil            | Harris          | 8.20691394806   <-> 7.39718914032   || 1
Harris          | zuchtte         | 12.2670183182   <-> 11.8554458618   || 1
zuchtte         | ooit            | 7.94546604156   <-> 7.79162311554   || 1
ooit            | </s>            | 2.58504486084   <-> 2.52529764175   || 1
<s>             | Jack            | 9.20968818665   <-> 9.96278572083   || 0
Jack            | Lemon           | 12.0665044785   <-> 12.1060781479   || 0
Lemon           | is              | 2.93976759911   <-> 3.11493515968   || 0
is              | in              | 3.17980241776   <-> 3.09110569954   || 1
in              | meer            | 7.27614831924   <-> 7.12648773193   || 1
meer            | bunkers         | 12.670964241    <-> 12.0690097809   || 1
bunkers         | geweest         | 6.94405317307   <-> 6.2257270813    || 1
geweest         | dan             | 4.53775882721   <-> 5.75586223602   || 0
dan             | Eva             | 10.2571601868   <-> 10.5995368958   || 0
Eva             | Braun           | 10.3565740585   <-> 9.02909946442   || 1
Braun           | </s>            | 1.51727569103   <-> 1.07945489883   || 1
<s>             | maar            | 4.00632476807   <-> 3.73059105873   || 1
maar            | ook             | 3.95337152481   <-> 3.32223129272   || 1
ook             | voor            | 4.21892642975   <-> 4.43781375885   || 0
voor            | dit             | 5.4385933876    <-> 5.15453386307   || 1
dit             | soort           | 3.47528600693   <-> 3.43846273422   || 1
soort           | <UNK>           | 1.84869265556   <-> 1.79278838634   || 1
<UNK>           | zijn            | 3.93267583847   <-> 3.68831944466   || 1
zijn            | er              | 2.67844009399   <-> 1.95390295982   || 1
er              | twee            | 5.23976612091   <-> 4.62784767151   || 1
twee            | zaken           | 7.72311258316   <-> 7.19689035416   || 1
zaken           | waarmee         | 7.60725212097   <-> 7.21374034882   || 1
waarmee         | niet            | 5.50841283798   <-> 6.2250828743    || 0
niet            | te              | 4.28250980377   <-> 3.95639038086   || 1
te              | spotten         | 10.1566295624   <-> 9.12378025055   || 1
spotten         | valt            | 5.27034521103   <-> 4.93869495392   || 1
valt            | </s>            | 0.880857229233  <-> 1.24547088146   || 0
<s>             | het             | 2.76126670837   <-> 2.78782010078   || 0
het             | eerste          | 5.04461193085   <-> 5.45663928986   || 0
eerste          | is              | 2.75008630753   <-> 2.77533102036   || 0
is              | de              | 2.29923915863   <-> 2.43593430519   || 0
de              | Royal           | 10.5390882492   <-> 11.0186347961   || 0
Royal           | and             | 8.35308456421   <-> 6.88998413086   || 1
and             | <UNK>           | 1.08748400211   <-> 1.04610729218   || 1
<UNK>           | </s>            | 2.05191516876   <-> 2.10781621933   || 0
<s>             | haar            | 5.9391283989    <-> 6.69346046448   || 0
haar            | <UNK>           | 2.18033647537   <-> 2.30204153061   || 0
<UNK>           | is              | 2.38697528839   <-> 2.15093898773   || 1
is              | <UNK>           | 3.48964476585   <-> 4.26650238037   || 0
<UNK>           | </s>            | 1.79214060307   <-> 1.37352383137   || 1
<s>             | of              | 5.78487348557   <-> 5.89944458008   || 0
of              | wat             | 4.6450548172    <-> 5.43968296051   || 0
wat             | dacht           | 7.51013994217   <-> 8.14048957825   || 0
dacht           | u               | 4.17608070374   <-> 4.57462310791   || 0
u               | van             | 4.81700801849   <-> 5.28895378113   || 0
van             | dit             | 5.44031524658   <-> 5.30068397522   || 1
dit             | artikel         | 6.70683002472   <-> 6.38310050964   || 1
artikel         | uit             | 4.96269321442   <-> 5.20783233643   || 0
uit             | het             | 2.3148560524    <-> 2.22623443604   || 1
het             | reglement       | 9.14817428589   <-> 8.23320770264   || 1
reglement       | </s>            | 1.22214877605   <-> 0.950306892395  || 1
<s>             | een             | 3.35139155388   <-> 3.69191384315   || 0
een             | speler          | 8.8079366684    <-> 8.20752906799   || 1
speler          | die             | 2.73414516449   <-> 2.82701992989   || 0
die             | een             | 3.04350590706   <-> 3.31215691566   || 0
een             | verkeerd        | 8.99950408936   <-> 9.14517784119   || 0
verkeerd        | shot            | 10.0826148987   <-> 9.72689437866   || 1
shot            | neemt           | 6.36751937866   <-> 6.07272386551   || 1
neemt           | omdat           | 5.94519996643   <-> 6.34026241302   || 0
omdat           | op              | 6.08043384552   <-> 6.2111787796    || 0
op              | het             | 2.18053364754   <-> 2.16959857941   || 1
het             | moment          | 3.43599534035   <-> 3.19842815399   || 1
moment          | van             | 1.87916970253   <-> 2.21266007423   || 0
van             | de              | 1.07422292233   <-> 1.32561206818   || 0
de              | slag            | 7.60670042038   <-> 7.51941537857   || 1
slag            | in              | 3.05827879906   <-> 2.80430102348   || 1
in              | de              | 1.143425107     <-> 1.19391906261   || 0
de              | onmiddellijke   | 9.29484939575   <-> 8.91719913483   || 1
onmiddellijke   | nabijheid       | 8.6825799942    <-> 8.12818717957   || 1
nabijheid       | een             | 5.22445631027   <-> 4.6945810318    || 1
een             | bom             | 8.23026657104   <-> 7.15049743652   || 1
bom             | ontplofte       | 9.63568782806   <-> 8.53604507446   || 1
ontplofte       | mag             | 6.7230758667    <-> 6.7987446785    || 0
mag             | vanop           | 10.0770626068   <-> 9.80225563049   || 1
vanop           | dezelfde        | 5.88872432709   <-> 5.79163789749   || 1
dezelfde        | plaats          | 4.18646383286   <-> 3.77358388901   || 1
plaats          | opnieuw         | 6.71187496185   <-> 6.01649093628   || 1
opnieuw         | slaan           | 8.40505123138   <-> 8.03632164001   || 1
slaan           | maar            | 3.82286906242   <-> 3.99598431587   || 0
maar            | er              | 4.17151260376   <-> 3.96190190315   || 1
er              | wordt           | 3.24974894524   <-> 2.76537466049   || 1
wordt           | hem             | 5.90861940384   <-> 7.23484325409   || 0
hem             | wel             | 4.7206363678    <-> 4.44942951202   || 1
wel             | een             | 2.48864483833   <-> 2.14317822456   || 1
een             | <UNK>           | 2.08076882362   <-> 2.44516420364   || 0
<UNK>           | aangerekend     | 10.0795688629   <-> 8.72523021698   || 1
aangerekend     | </s>            | 0.743348658085  <-> 0.451601564884  || 1
<s>             | dat             | 3.66342949867   <-> 3.79571175575   || 0
dat             | is              | 1.53567445278   <-> 1.53689241409   || 0
is              | iets            | 5.4795293808    <-> 5.99155712128   || 0
iets            | anders          | 3.50597429276   <-> 2.61704826355   || 1
anders          | dan             | 1.70603621006   <-> 1.34151947498   || 1
dan             | de              | 2.22851037979   <-> 1.93681001663   || 1
de              | UCI             | 10.1024541855   <-> 9.89962768555   || 1
UCI             | nietwaar        | 11.8677453995   <-> 12.1595697403   || 0
nietwaar        | </s>            | 0.423810273409  <-> 0.306124538183  || 1
<s>             | en              | 4.02233982086   <-> 4.06708335876   || 0
en              | het             | 3.31100678444   <-> 3.13798570633   || 1
het             | tweede          | 6.59141921997   <-> 6.77147436142   || 0
tweede          | waarmee         | 9.34821033478   <-> 9.16511917114   || 1
waarmee         | niet            | 5.28073883057   <-> 5.67502784729   || 0
niet            | gelachen        | 10.1120920181   <-> 9.98079681396   || 1
gelachen        | wordt           | 2.53006529808   <-> 2.38078689575   || 1
wordt           | is              | 3.17759919167   <-> 3.52047538757   || 0
is              | de              | 2.39260554314   <-> 2.5130546093    || 0
de              | Ryder           | 13.1023082733   <-> 13.4329366684   || 0
Ryder           | Cup             | 8.03568840027   <-> 3.71542978287   || 1
Cup             | </s>            | 1.11341810226   <-> 1.50949668884   || 0
<s>             | <UNK>           | 3.19907140732   <-> 3.21614193916   || 0
<UNK>           | ter             | 8.38068580627   <-> 8.31823062897   || 1
ter             | behoud          | 15.339963913    <-> 15.9457874298   || 0
behoud          | of              | 5.79431009293   <-> 6.62580299377   || 0
of              | ter             | 9.1049747467    <-> 8.72563743591   || 1
ter             | herovering      | 14.1024227142   <-> 14.3033094406   || 0
herovering      | van             | 0.828913629055  <-> 0.275846838951  || 1
van             | de              | 0.967482805252  <-> 0.942102074623  || 1
de              | legendarische   | 7.88503789902   <-> 8.84421539307   || 0
legendarische   | beker           | 8.38358211517   <-> 7.80147981644   || 1
beker           | die             | 3.50481414795   <-> 3.73080229759   || 0
die             | de              | 2.10719752312   <-> 2.56629395485   || 0
de              | Britse          | 6.33459424973   <-> 6.76534223557   || 0
Britse          | zakenman        | 6.68813323975   <-> 6.54410743713   || 1
zakenman        | Samuel          | 9.08354949951   <-> 8.58057975769   || 1
Samuel          | A               | 9.07742786407   <-> 7.70792770386   || 1
A               | Ryder           | 11.9244346619   <-> 12.91147995     || 0
Ryder           | in              | 3.2135682106    <-> 3.01294374466   || 1
in              | negentien       | 2.95058584213   <-> 2.98688864708   || 0
negentien       | honderd         | 0.00316856452264 <-> 0.0151158338413 || 0
honderd         | zeven-en        | 2.17117190361   <-> 2.16816043854   || 1
zeven-en        | twintig         | 3.2909989357    <-> 3.26972961426   || 1
twintig         | liet            | 6.20911407471   <-> 5.86756467819   || 1
liet            | ontwerpen       | 9.8901386261    <-> 9.52962398529   || 1
ontwerpen       | </s>            | 2.30715560913   <-> 1.79070448875   || 1
<s>             | als             | 4.65169143677   <-> 4.43155956268   || 1
als             | we              | 4.80018901825   <-> 3.245439291     || 1
we              | de              | 2.55536985397   <-> 2.53887557983   || 1
de              | </s>            | 9.52331161499   <-> 10.4051570892   || 0
<s>             | Amerikanen      | 9.83556747437   <-> 9.82995986938   || 1
Amerikanen      | de              | 5.08034324646   <-> 4.67840909958   || 1
de              | laatste         | 4.95301151276   <-> 5.09185695648   || 0
laatste         | jaren           | 3.04302597046   <-> 4.2902545929    || 0
jaren           | op              | 3.75011181831   <-> 3.91834950447   || 0
op              | één           | 5.24439811707   <-> 4.67676019669   || 1
één           | domein          | 10.3821325302   <-> 9.64523887634   || 1
domein          | de              | 4.17210578918   <-> 3.90803050995   || 1
de              | baas            | 7.81178379059   <-> 8.15712738037   || 0
baas            | waren           | 5.21748352051   <-> 7.50206708908   || 0
waren           | dan             | 5.43342542648   <-> 4.52539205551   || 1
dan             | was             | 4.78764104843   <-> 6.48913669586   || 0
was             | het             | 1.87665212154   <-> 1.80243945122   || 1
het             | in              | 3.89141869545   <-> 3.77203297615   || 1
in              | de              | 1.17432868481   <-> 1.33449220657   || 0
de              | Ryder           | 13.5204820633   <-> 13.5290088654   || 0
Ryder           | Cup             | 6.75273609161   <-> 3.06976342201   || 1
Cup             | </s>            | 1.73332965374   <-> 1.77154076099   || 0
<s>             | de              | 1.76283049583   <-> 1.98693776131   || 0
de              | tussenstand     | 10.2051372528   <-> 11.4147701263   || 0
tussenstand     | is              | 2.85970973969   <-> 2.54943656921   || 1
is              | weliswaar       | 7.39038467407   <-> 7.31252574921   || 1
weliswaar       | van             | 4.45040130615   <-> 4.66356897354   || 0
van             | drie-en         | 6.45058679581   <-> 6.4831867218    || 0
drie-en         | twintig         | 0.859039306641  <-> 1.08637869358   || 0
twintig         | tot             | 1.2110594511    <-> 0.427340269089  || 1
tot             | zeven           | 3.70060253143   <-> 3.55872249603   || 1
zeven           | voor            | 5.27874040604   <-> 5.4970240593    || 0
voor            | de              | 1.09124565125   <-> 1.43108725548   || 0
de              | Amerikanen      | 7.67109012604   <-> 7.48306703568   || 1
Amerikanen      | maar            | 4.25493764877   <-> 4.39609622955   || 0
maar            | </s>            | 5.78089809418   <-> 6.48229503632   || 0
<s>             | Europa          | 8.23277568817   <-> 7.96390581131   || 1
Europa          | is              | 2.31405997276   <-> 2.24185729027   || 1
is              | de              | 2.49013400078   <-> 2.67330336571   || 0
de              | kloof           | 6.55476570129   <-> 7.63446617126   || 0
kloof           | langzaam        | 11.025604248    <-> 11.3629684448   || 0
langzaam        | maar            | 3.81095600128   <-> 4.25946044922   || 0
maar            | zeker           | 6.43137788773   <-> 6.12593698502   || 1
zeker           | aan             | 4.94858074188   <-> 4.84278392792   || 1
aan             | het             | 2.07671070099   <-> 1.9470334053    || 1
het             | dichten         | 11.2099409103   <-> 10.2218542099   || 1
dichten         | </s>            | 1.23925876617   <-> 1.1023080349    || 1
<s>             | met             | 4.84860897064   <-> 4.9116191864    || 0
met             | een             | 1.98389542103   <-> 2.15222525597   || 0
een             | beetje          | 5.95875787735   <-> 5.34037017822   || 1
beetje          | geluk           | 7.8748755455    <-> 7.99959897995   || 0
geluk           | hebben          | 4.69779968262   <-> 5.99416446686   || 0
hebben          | we              | 1.58236217499   <-> 1.47441983223   || 1
we              | ze              | 5.63727521896   <-> 5.21516895294   || 1
ze              | in              | 3.40616178513   <-> 3.20556926727   || 1
in              | twee            | 4.60661268234   <-> 5.03030347824   || 0
twee            | duizend         | 0.54105079174   <-> 0.46311673522   || 1
duizend         | negen-en        | 7.93159627914   <-> 7.52905321121   || 1
negen-en        | twintig         | 1.52291762829   <-> 1.54397368431   || 0
twintig         | te              | 5.25222301483   <-> 5.16444826126   || 1
te              | pakken          | 5.85845565796   <-> 7.62188482285   || 0
pakken          | </s>            | 0.694107174873  <-> 1.20663845539   || 0
<s>             | op              | 4.19731664658   <-> 4.28959560394   || 0
op              | drie-en         | 6.32561969757   <-> 5.99278783798   || 1
drie-en         | twintig         | 0.533688485622  <-> 0.778699338436  || 0
twintig         | september       | 2.54884290695   <-> 2.81341028214   || 0
september       | beginnen        | 7.58824300766   <-> 7.90536117554   || 0
beginnen        | we              | 2.36427760124   <-> 2.13679814339   || 1
we              | eraan           | 7.19912385941   <-> 8.45445632935   || 0
eraan           | deze            | 8.29316234589   <-> 7.09205341339   || 1
deze            | keer            | 3.13333010674   <-> 4.77989196777   || 0
keer            | op              | 3.15335607529   <-> 3.09679937363   || 1
op              | The             | 9.33898830414   <-> 9.20922660828   || 1
The             | <UNK>           | 1.45937001705   <-> 0.960456073284  || 1
<UNK>           | Country         | 11.8760957718   <-> 10.5793437958   || 1
Country         | </s>            | 1.52824819088   <-> 2.41322922707   || 0
<s>             | club            | 7.88531684875   <-> 8.29900455475   || 0
club            | in              | 3.45579123497   <-> 4.51356220245   || 0
in              | de              | 1.54455208778   <-> 1.93357896805   || 0
de              | staat           | 7.05175018311   <-> 7.98497390747   || 0
staat           | Massachusetts   | 12.9432296753   <-> 11.8966026306   || 1
Massachusetts   | </s>            | 1.76423847675   <-> 1.29186832905   || 1
<s>             | <UNK>           | 3.04267835617   <-> 3.21614193916   || 0
<UNK>           | we              | 7.09382724762   <-> 8.42391395569   || 0
we              | de              | 3.95452833176   <-> 4.21880817413   || 0
de              | woorden         | 7.9264831543    <-> 7.85338878632   || 1
woorden         | van             | 1.6329267025    <-> 1.13004899025   || 1
van             | Ben             | 9.58270454407   <-> 9.14443778992   || 1
Ben             | <UNK>           | 1.54405641556   <-> 1.10473394394   || 1
<UNK>           | </s>            | 1.46196353436   <-> 2.37330126762   || 0
<s>             | ik              | 3.30787563324   <-> 3.49155926704   || 0
ik              | speel           | 6.33719873428   <-> 6.3745007515    || 0
speel           | soms            | 6.34093141556   <-> 6.27202129364   || 1
soms            | met             | 3.95888781548   <-> 3.6995215416    || 1
met             | vrienden        | 7.29033470154   <-> 7.76793289185   || 0
vrienden        | maar            | 3.93581199646   <-> 3.62637138367   || 1
maar            | nooit           | 6.61632633209   <-> 6.26148986816   || 1
nooit           | vriendschappelijk | 12.9559631348   <-> 13.0154829025   || 0
vriendschappelijk | </s>            | 1.46106934547   <-> 1.6453640461    || 0
<s>             | dat             | 3.53288578987   <-> 3.79571175575   || 0
dat             | is              | 1.65541160107   <-> 1.53689241409   || 1
is              | de              | 3.05001211166   <-> 2.58905029297   || 1
de              | enige           | 3.85522270203   <-> 3.40910124779   || 1
enige           | juiste          | 8.41250228882   <-> 8.48212051392   || 0
juiste          | attitude        | 9.80501461029   <-> 8.99679946899   || 1
attitude        | </s>            | 0.85851174593   <-> 1.08731245995   || 0
<s>             | golf            | 12.5627336502   <-> 11.6186056137   || 1
golf            | is              | 2.63012981415   <-> 3.26554584503   || 0
is              | niet            | 3.02168560028   <-> 3.09543538094   || 0
niet            | om              | 4.99482345581   <-> 5.37392997742   || 0
om              | te              | 2.91962242126   <-> 2.51517295837   || 1
te              | lachen          | 5.31541252136   <-> 6.57280635834   || 0
lachen          | </s>            | 0.549311876297  <-> 0.767610907555  || 0
<s>             | een             | 3.71859550476   <-> 3.69191384315   || 1
een             | wimpel          | 13.6722917557   <-> 14.0402212143   || 0
wimpel          | voor            | 3.35346531868   <-> 3.25379514694   || 1
voor            | Gent            | 8.6457862854    <-> 7.296479702     || 1
Gent            | </s>            | 1.25493013859   <-> 1.64600038528   || 0
<s>             | kunst           | 9.24930667877   <-> 9.25652122498   || 0
kunst           | </s>            | 3.02283334732   <-> 3.11353063583   || 0
<s>             | Gent            | 8.66171360016   <-> 7.95822906494   || 1
Gent            | eist            | 8.15273666382   <-> 7.11606311798   || 1
eist            | almaar          | 9.97950077057   <-> 10.0013008118   || 0
almaar          | nadrukkelijker  | 7.88429784775   <-> 6.57940387726   || 1
nadrukkelijker  | de              | 2.72859454155   <-> 2.42976951599   || 1
de              | blauwe          | 8.69390392303   <-> 9.5854511261    || 0
blauwe          | wimpel          | 13.4757041931   <-> 13.3298120499   || 1
wimpel          | van             | 2.28332829475   <-> 2.11917424202   || 1
van             | nationale       | 8.92830944061   <-> 8.29063606262   || 1
nationale       | <UNK>           | 1.59974348545   <-> 1.58753275871   || 1
<UNK>           | op              | 3.91377425194   <-> 4.06360340118   || 0
op              | </s>            | 2.32995271683   <-> 3.65744328499   || 0
<s>             | met             | 4.61892843246   <-> 4.9116191864    || 0
met             | grote           | 6.17133998871   <-> 6.24825572968   || 0
grote           | regelmaat       | 8.46382236481   <-> 6.76389980316   || 1
regelmaat       | maakt           | 6.80630588531   <-> 6.7968006134    || 1
maakt           | de              | 1.67032253742   <-> 1.60303330421   || 1
de              | fine            | 11.8489580154   <-> 11.98741436     || 0
fine            | fleur           | 11.0502376556   <-> 8.25869083405   || 1
fleur           | van             | 0.726891279221  <-> 0.907252788544  || 0
van             | de              | 1.14042508602   <-> 0.901578485966  || 1
de              | elektronische   | 8.63007736206   <-> 8.38399124146   || 1
elektronische   | muziek          | 5.57878494263   <-> 4.53789663315   || 1
muziek          | haar            | 6.1437625885    <-> 6.20793819427   || 0
haar            | opwachting      | 7.03854370117   <-> 6.23683309555   || 1
opwachting      | tijdens         | 7.03647947311   <-> 7.50541782379   || 0
tijdens         | </s>            | 3.79419231415   <-> 4.2809677124    || 0
<s>             | I               | 8.88599300385   <-> 9.27567863464   || 0
I               | love            | 6.39120674133   <-> 5.74354839325   || 1
love            | techno          | 9.47484397888   <-> 9.19311714172   || 1
techno          | de              | 4.91564750671   <-> 5.84564971924   || 0
de              | </s>            | 8.18733787537   <-> 6.61318731308   || 1
<s>             | ten             | 7.64994239807   <-> 7.32853221893   || 1
ten             | days            | 10.6127347946   <-> 12.4584522247   || 0
days            | of              | 5.32475852966   <-> 5.85180187225   || 0
of              | techno          | 9.30254364014   <-> 9.11742973328   || 1
techno          | </s>            | 1.89926028252   <-> 2.16107583046   || 0
<s>             | de              | 2.16382431984   <-> 1.98693776131   || 1
de              | snelle          | 8.40155792236   <-> 8.28618049622   || 1
snelle          | evoluties       | 9.84527683258   <-> 9.68297863007   || 1
evoluties       | in              | 2.7462348938    <-> 2.6627368927    || 1
in              | de              | 1.1714631319    <-> 1.11952781677   || 1
de              | wereld          | 4.90128040314   <-> 4.85300683975   || 1
wereld          | van             | 2.47594475746   <-> 2.3941988945    || 1
van             | <UNK>           | 1.9765150547    <-> 2.61828994751   || 0
<UNK>           | en              | 2.13506340981   <-> 2.32943296432   || 0
en              | beats           | 9.26160621643   <-> 11.2225322723   || 0
beats           | dwingen         | 11.2180233002   <-> 10.1474590302   || 1
dwingen         | </s>            | 4.33466291428   <-> 4.53274202347   || 0
<s>             | ten             | 7.54525470734   <-> 7.32853221893   || 1
ten             | days            | 10.5031204224   <-> 12.4584522247   || 0
days            | tot             | 6.51451063156   <-> 8.59763145447   || 0
tot             | een             | 2.36291861534   <-> 2.23942041397   || 1
een             | herschikking    | 11.7264194489   <-> 10.2545642853   || 1
herschikking    | </s>            | 2.9717874527    <-> 3.80614900589   || 0
<s>             | techno          | 10.2885913849   <-> 11.8109426498   || 0
techno          | is              | 3.31044626236   <-> 2.53906416893   || 1
is              | immers          | 6.55474758148   <-> 6.31508636475   || 1
immers          | niet            | 3.27716350555   <-> 2.54165649414   || 1
niet            | langer          | 4.71513271332   <-> 4.40961360931   || 1
langer          | afdoende        | 11.4950637817   <-> 11.266793251    || 1
afdoende        | om              | 4.12248802185   <-> 4.68205118179   || 0
om              | de              | 1.89966857433   <-> 2.01334261894   || 0
de              | brede           | 8.36745452881   <-> 8.55004692078   || 0
brede           | waaier          | 8.09430217743   <-> 6.91887378693   || 1
waaier          | van             | 0.829958021641  <-> 1.45535647869   || 0
van             | stijlen         | 8.55528354645   <-> 8.92496299744   || 0
stijlen         | en              | 2.03038167953   <-> 1.93848860264   || 1
en              | <UNK>           | 2.02335166931   <-> 2.11059427261   || 0
<UNK>           | te              | 1.29019260406   <-> 1.36132049561   || 0
te              | dragen          | 5.10461711884   <-> 5.38180398941   || 0
dragen          | </s>            | 0.353598058224  <-> 0.409906744957  || 0
<s>             | daarom          | 6.22590351105   <-> 6.12780952454   || 1
daarom          | heet            | 6.87592029572   <-> 7.99832868576   || 0
heet            | het             | 2.02541685104   <-> 2.13465595245   || 0
het             | tiendaagse      | 13.1822490692   <-> 13.1336326599   || 1
tiendaagse      | festival        | 7.3399066925    <-> 6.79510259628   || 1
festival        | in              | 2.78015708923   <-> 2.58304357529   || 1
in              | de              | 1.36605167389   <-> 1.54235196114   || 0
de              | marge           | 7.68794536591   <-> 6.91224956512   || 1
marge           | van             | 0.468666493893  <-> 0.253625720739  || 1
